台興,	3426
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,9085,69.40,69.90,69.40,69.80,+1.30,10,633241
107/06/04,25000,69.20,69.50,69.00,69.10,-0.70,19,1729400
107/06/05,6000,69.50,69.50,69.10,69.10,0.00,6,415200
107/06/06,6203,69.10,69.10,68.80,69.10,0.00,8,428327
107/06/07,25000,69.90,69.90,69.10,69.50,+0.40,19,1733800
107/06/08,75026,68.80,69.30,68.50,69.20,-0.30,51,5151899
107/06/11,42010,69.10,69.20,68.90,68.90,-0.30,29,2906695
107/06/12,20000,69.00,69.20,68.90,69.00,+0.10,9,1379800
107/06/13,24000,69.00,69.50,69.00,69.00,0.00,16,1657900
107/06/14,18000,69.00,69.10,68.80,69.00,0.00,8,1241900
107/06/15,49045,69.40,69.40,69.00,69.00,0.00,10,3384632
107/06/19,9000,69.00,69.00,68.70,68.70,-0.30,8,619900
107/06/20,16000,68.50,68.50,68.00,68.00,-0.70,13,1088500
107/06/21,6000,68.00,68.80,68.00,68.80,+0.80,5,408800
107/06/22,19050,67.10,69.40,67.10,68.90,+0.10,14,1308325
107/06/25,23000,69.00,69.20,68.90,69.00,+0.10,15,1585300
107/06/26,63000,68.90,69.00,68.30,68.30,-0.70,12,4338500
107/06/27,44001,68.40,68.80,68.00,68.70,+0.40,29,3006768
107/06/28,20000,68.90,68.90,68.30,68.90,+0.20,17,1374100
107/06/29,28000,67.60,69.00,67.60,68.90,0.00,23,1912600
107/07/02,16000,68.50,68.50,68.00,68.40,-0.50,14,1089900
107/07/03,22000,68.20,68.30,67.60,68.20,-0.20,17,1493400
107/07/04,5000,68.30,68.30,68.30,68.30,+0.10,3,341500
107/07/05,4000,68.20,68.20,67.50,67.50,-0.80,4,270900
107/07/06,23000,67.50,67.60,66.00,67.60,+0.10,17,1543300
107/07/09,14000,67.10,67.70,66.80,67.70,+0.10,13,941100
107/07/10,26000,67.60,67.70,66.80,67.70,0.00,20,1748600
107/07/11,19100,66.80,67.70,66.80,67.60,-0.10,15,1285620
107/07/12,11000,66.80,67.60,66.60,67.00,-0.60,11,735900
107/07/13,26000,66.80,67.80,66.60,67.10,+0.10,19,1749900
107/07/16,22000,66.60,67.90,66.50,67.90,+0.80,21,1480800
107/07/17,1999,68.70,68.70,68.70,68.70,+0.80,4,136632
107/07/18,6101,68.70,68.70,67.50,68.40,-0.30,7,416737
107/07/19,7000,67.50,68.30,67.50,68.30,-0.10,7,476600
107/07/20,4000,67.50,67.50,67.00,67.00,-1.30,4,268800
107/07/23,22000,67.00,67.80,66.80,67.50,+0.50,20,1480200
107/07/24,34000,67.60,67.80,67.00,67.80,+0.30,23,2294500
107/07/25,8050,67.80,68.20,67.40,67.40,-0.40,10,545400
107/07/26,14100,67.70,68.50,67.70,67.90,+0.50,14,961950
107/07/27,2000,68.40,68.40,67.90,67.90,0.00,2,136300
107/07/30,32268,67.90,69.00,67.90,68.60,+0.70,26,2210484
107/07/31,7000,68.90,68.90,68.60,68.90,+0.30,7,481800
