詠昇,	6418
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/02/18,1201100,27.80,28.90,26.05,26.40,+4.35,874,32231390
108/02/19,1428199,26.60,30.50,26.60,30.10,+3.70,899,40834860
108/02/20,1130210,30.10,30.70,28.20,28.70,-1.40,587,33106831
108/02/21,468400,28.50,28.50,27.30,27.45,-1.25,309,12960379
108/02/22,559100,27.05,28.00,26.75,26.90,-0.55,313,15194010
108/02/25,331100,27.25,27.25,26.10,26.80,-0.10,220,8766905
108/02/26,230186,26.70,26.90,26.10,26.20,-0.60,153,6085160
108/02/27,206959,26.20,26.30,25.70,25.75,-0.45,134,5347500
108/03/04,242010,27.60,27.60,26.35,26.60,+0.85,137,6467666
108/03/05,204050,26.55,26.55,25.85,25.85,-0.75,134,5312095
108/03/06,110000,25.85,26.40,25.85,26.25,+0.40,78,2879950
108/03/07,391100,26.55,27.15,26.40,26.90,+0.65,226,10487695
108/03/08,119000,26.90,26.90,26.50,26.80,-0.10,72,3178900
108/03/11,124000,27.20,27.20,26.70,26.75,-0.05,66,3327650
108/03/12,202000,27.05,27.05,26.20,26.35,-0.40,129,5376150
108/03/13,131000,26.65,26.65,26.15,26.35,0.00,84,3446750
108/03/14,286000,26.55,26.55,25.80,26.00,-0.35,145,7450000
108/03/15,74000,26.10,26.15,26.00,26.05,+0.05,56,1927850
108/03/18,70371,26.10,26.35,26.05,26.35,+0.30,58,1844075
108/03/19,499098,26.40,28.30,26.35,28.25,+1.90,301,13611603
108/03/20,775251,28.35,29.60,28.35,29.50,+1.25,446,22481954
108/03/21,362000,29.75,29.75,28.30,28.75,-0.75,205,10572550
108/03/22,200000,28.80,28.80,28.40,28.45,-0.30,132,5718100
108/03/25,120000,28.00,28.10,27.50,28.05,-0.40,72,3349800
108/03/26,78051,28.00,28.50,28.00,28.00,-0.05,54,2199378
108/03/27,50000,28.15,28.15,27.50,27.60,-0.40,40,1386150
108/03/28,58000,27.60,27.60,27.25,27.30,-0.30,38,1592950
108/03/29,75200,27.95,27.95,27.30,27.50,+0.20,41,2065069
108/04/01,38001,27.30,27.40,27.20,27.20,-0.30,32,1035327
108/04/02,129000,26.95,27.00,26.40,26.60,-0.60,88,3445800
108/04/03,54000,26.60,27.50,26.60,27.15,+0.55,45,1452700
108/04/08,173100,27.15,27.50,27.15,27.35,+0.20,45,4716185
108/04/09,49000,27.25,27.40,27.20,27.20,-0.15,31,1334550
108/04/10,37000,27.20,27.30,27.10,27.25,+0.05,30,1006150
108/04/11,51002,27.50,27.60,27.20,27.20,-0.05,45,1391354
108/04/12,45001,27.00,27.20,26.90,26.90,-0.30,31,1213726
108/04/15,26000,26.80,27.00,26.80,26.90,0.00,20,700600
108/04/16,63000,27.00,27.00,26.75,26.80,-0.10,50,1693200
108/04/17,48000,26.90,27.25,26.80,27.10,+0.30,32,1294450
108/04/18,77000,27.10,27.20,27.00,27.20,+0.10,46,2087750
108/04/19,46100,27.25,27.35,27.15,27.15,-0.05,36,1255145
108/04/22,29000,27.15,27.25,27.15,27.20,+0.05,15,788650
108/04/23,30000,27.10,27.25,27.10,27.20,0.00,25,815000
108/04/24,38000,27.30,27.30,27.00,27.00,-0.20,27,1032400
108/04/25,203000,27.00,27.05,26.50,26.50,-0.50,67,5439000
108/04/26,55000,26.40,26.50,26.35,26.40,-0.10,26,1454200
108/04/29,34000,26.30,26.30,26.20,26.20,-0.20,18,893750
108/04/30,25000,26.20,26.50,26.05,26.05,-0.15,21,655250
108/05/02,33100,26.05,26.35,26.00,26.35,+0.30,20,863285
108/05/03,34000,26.30,26.30,26.10,26.10,-0.25,20,888750
108/05/06,44000,26.10,26.15,26.00,26.10,0.00,32,1147600
108/05/07,56300,26.10,26.20,26.10,26.15,+0.05,29,1471995
