沛亨,	6291
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,14270,3.71,3.91,3.70,3.91,-0.05,11,53599
104/01/06,2001,3.91,3.91,3.91,3.91,0.00,3,7823
104/01/07,7760,3.66,3.79,3.65,3.79,-0.12,7,28900
104/01/08,10003,3.57,3.87,3.55,3.87,+0.08,6,36540
104/01/09,15002,3.64,3.85,3.64,3.85,-0.02,8,55258
104/01/12,1,---,---,---,---,---,1,3
104/01/13,1007,3.86,3.86,3.86,3.86,+0.01,8,3881
104/01/14,8005,3.62,3.86,3.62,3.86,0.00,10,29700
104/01/15,4,---,---,---,---,---,4,16
104/01/16,0,---,---,---,---,---,0,0
104/01/19,3500,4.08,4.08,4.07,4.07,+0.23,14,14038
104/01/20,22000,3.81,3.87,3.80,3.87,-0.20,11,84789
104/01/21,27,---,---,---,---,---,11,108
104/01/22,23012,3.83,3.96,3.83,3.96,+0.13,13,88268
104/01/23,26,---,---,---,---,---,16,86
104/01/26,19202,3.76,3.79,3.75,3.75,-0.17,11,72185
104/01/27,4000,3.91,3.91,3.91,3.91,+0.16,2,15640
104/01/28,22,---,---,---,---,---,9,89
104/01/29,5008,3.77,4.10,3.77,3.90,-0.01,11,19602
104/01/30,2,---,---,---,---,---,2,8
104/02/02,20007,3.68,3.68,3.68,3.68,-0.22,15,73628
104/02/03,2121,3.51,3.51,3.51,3.51,-0.17,7,7577
104/02/04,1003,3.74,3.74,3.74,3.74,+0.23,4,3749
104/02/05,0,---,---,---,---,---,0,0
104/02/06,15000,4.00,4.00,3.99,4.00,+0.26,10,59970
104/02/09,3,---,---,---,---,---,3,12
104/02/10,11000,3.73,3.73,3.73,3.73,-0.26,3,41030
104/02/11,1000,3.95,3.95,3.95,3.95,+0.22,1,3950
104/02/12,4500,3.69,4.22,3.69,4.22,+0.27,5,17798
104/02/13,8270,4.15,4.21,3.95,4.21,-0.01,7,33660
104/02/24,9138,4.21,4.21,4.21,4.21,0.00,10,38431
104/02/25,17093,4.18,4.19,4.18,4.18,-0.03,11,71482
104/02/26,2000,4.17,4.17,4.17,4.17,-0.01,1,8340
104/03/02,0,---,---,---,---,---,0,0
104/03/03,18000,4.16,4.17,4.16,4.17,+0.01,3,74900
104/03/04,0,---,---,---,---,---,0,0
104/03/05,17278,4.46,4.46,3.89,4.39,+0.22,15,73312
104/03/06,7000,4.10,4.37,4.10,4.10,-0.29,7,28970
104/03/09,0,---,---,---,---,---,0,0
104/03/10,35500,3.77,3.81,3.77,3.81,-0.24,35,135030
104/03/11,9000,3.84,3.84,3.59,3.84,+0.03,4,34310
104/03/12,11635,3.99,3.99,3.66,3.95,+0.11,19,43943
104/03/13,13832,3.81,4.02,3.81,4.02,+0.07,14,54098
104/03/16,13,---,---,---,---,---,9,52
104/03/17,15074,3.99,4.05,3.76,4.02,+0.03,55,60348
104/03/18,1013,4.07,4.07,4.07,4.07,+0.05,13,4122
104/03/19,29487,3.86,4.29,3.85,4.29,+0.22,31,116388
104/03/20,43212,4.28,4.28,3.99,4.19,-0.10,28,179516
104/03/23,4021,3.99,3.99,3.99,3.99,-0.20,19,16027
104/03/24,16176,4.09,4.20,3.78,4.00,+0.01,32,64007
104/03/25,3000,4.18,4.18,3.90,4.15,+0.15,3,12230
104/03/26,15479,4.00,4.01,3.86,3.86,-0.29,20,61658
104/03/27,7500,3.75,3.99,3.75,3.99,+0.13,35,29185
104/03/30,25533,3.75,4.16,3.75,3.82,-0.17,42,101347
104/03/31,14500,3.83,4.08,3.83,4.02,+0.20,23,56707
104/04/01,10545,4.02,4.25,4.02,4.25,+0.23,7,42867
104/04/02,4000,4.00,4.22,4.00,4.22,-0.03,2,16220
104/04/07,8029,3.96,4.15,3.95,4.15,-0.07,33,32126
104/04/08,0,---,---,---,---,---,0,0
104/04/09,26471,4.15,4.19,3.90,3.90,-0.24,45,105539
104/04/10,10000,3.67,4.00,3.67,3.84,-0.06,10,38460
104/04/13,3000,3.75,3.98,3.75,3.98,+0.14,3,11610
104/04/14,1019,4.04,4.04,4.04,4.04,+0.06,20,4116
104/04/15,3210,4.10,4.21,4.10,4.21,+0.17,18,13226
104/04/16,0,---,---,---,---,---,0,0
104/04/17,3135,3.91,4.17,3.91,4.17,-0.03,9,12660
104/04/20,14000,3.91,4.10,3.91,4.10,-0.07,3,55220
