大汽電,	8931
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,13004,22.50,22.50,22.00,22.20,+0.20,6,286788
104/01/06,44200,22.00,22.10,21.95,22.00,-0.20,29,972875
104/01/07,25004,22.00,22.20,22.00,22.00,0.00,22,551288
104/01/08,13038,22.10,22.40,22.10,22.40,+0.40,14,290706
104/01/09,7006,22.20,22.25,22.10,22.25,-0.15,12,155482
104/01/12,17308,22.25,22.25,22.25,22.25,0.00,20,385145
104/01/13,24032,22.20,22.20,22.20,22.20,-0.05,28,533512
104/01/14,4011,22.15,22.15,22.15,22.15,-0.05,13,88842
104/01/15,15024,22.40,22.40,22.10,22.15,0.00,20,333534
104/01/16,25124,22.40,22.40,22.00,22.00,-0.15,41,555157
104/01/19,40024,22.05,22.05,22.00,22.00,0.00,32,880607
104/01/20,4022,22.00,22.00,22.00,22.00,0.00,14,88491
104/01/21,48034,22.00,22.00,21.45,22.00,0.00,38,1049903
104/01/22,3013,22.00,22.00,22.00,22.00,0.00,16,66286
104/01/23,19081,22.00,22.00,22.00,22.00,0.00,27,419803
104/01/26,10013,22.00,22.00,21.95,21.95,-0.05,18,219986
104/01/27,197621,22.10,22.50,22.00,22.50,+0.55,79,4420244
104/01/28,22005,22.50,22.50,22.30,22.40,-0.10,15,494510
104/01/29,71035,22.35,22.40,22.30,22.40,0.00,40,1587977
104/01/30,89108,22.40,22.75,22.35,22.40,0.00,50,1999680
104/02/02,50117,22.40,22.50,22.35,22.40,0.00,35,1122013
104/02/03,20019,22.50,22.55,22.50,22.55,+0.15,25,450474
104/02/04,14084,22.50,22.55,22.50,22.50,-0.05,24,317046
104/02/05,36010,22.50,22.50,22.40,22.40,-0.10,21,808071
104/02/06,9024,22.40,22.55,22.40,22.45,+0.05,17,202432
104/02/09,73005,22.40,23.40,22.40,23.20,+0.75,50,1670415
104/02/10,38020,22.10,23.35,22.10,23.10,-0.10,40,869013
104/02/11,50071,23.20,23.50,23.20,23.40,+0.30,95,1168783
104/02/12,27131,23.30,23.50,23.30,23.35,-0.05,44,634484
104/02/13,41017,23.35,23.40,23.20,23.40,+0.05,42,955941
104/02/24,130229,23.40,24.00,23.30,23.55,+0.15,94,3081477
104/02/25,70086,23.60,23.95,23.60,23.90,+0.35,64,1666580
104/02/26,28437,23.90,23.90,23.75,23.80,-0.10,71,677244
104/03/02,21184,24.00,24.00,23.80,23.80,0.00,72,505045
104/03/03,30024,24.00,24.00,23.70,23.70,-0.10,36,716060
104/03/04,27080,23.70,23.85,23.70,23.70,0.00,43,642585
104/03/05,66052,23.80,23.80,23.55,23.80,+0.10,68,1561612
104/03/06,90223,23.95,24.00,23.70,24.00,+0.20,91,2155202
104/03/09,80107,24.00,24.35,24.00,24.25,+0.25,98,1942886
104/03/10,72060,24.35,24.45,24.30,24.35,+0.10,69,1756957
104/03/11,104204,24.35,25.40,24.35,25.00,+0.65,129,2570800
104/03/12,296201,25.00,26.30,25.00,25.50,+0.50,209,7613287
104/03/13,163158,26.00,26.20,25.50,25.60,+0.10,148,4204210
104/03/16,116711,25.75,26.90,25.75,26.30,+0.70,131,3064900
104/03/17,456685,26.70,28.10,26.70,28.10,+1.80,295,12743793
104/03/18,435116,29.95,29.95,27.55,27.75,-0.35,378,12396024
104/03/19,380260,27.50,27.55,26.15,26.20,-1.55,319,10205849
104/03/20,91150,26.20,27.00,26.00,26.65,+0.45,161,2432388
104/03/23,107110,27.95,27.95,26.60,26.60,-0.05,146,2888740
104/03/24,99436,26.80,27.50,26.80,27.20,+0.60,149,2701579
104/03/25,174227,27.30,27.75,27.30,27.55,+0.35,146,4774669
104/03/26,206945,27.50,28.90,27.50,28.20,+0.65,289,5842291
104/03/27,309060,28.90,29.00,28.10,28.15,-0.05,145,8750951
104/03/30,197004,28.25,28.25,27.10,27.60,-0.55,74,5465270
104/03/31,71200,27.60,28.25,27.60,28.00,+0.40,175,1985286
104/04/01,72001,28.00,28.15,27.80,28.15,+0.15,44,2013929
104/04/02,80000,28.10,28.45,28.05,28.45,+0.30,44,2253550
104/04/07,99009,28.60,28.60,28.30,28.60,+0.15,53,2816020
104/04/08,88091,28.70,28.70,28.20,28.70,+0.10,85,2510961
104/04/09,397839,28.80,30.70,28.80,29.90,+1.20,380,11955646
104/04/10,112141,29.10,30.45,29.10,30.00,+0.10,121,3345893
104/04/13,137493,30.00,30.80,30.00,30.75,+0.75,134,4169810
104/04/14,176760,30.70,31.10,30.40,31.10,+0.35,308,5448320
104/04/15,397529,31.10,33.25,31.05,33.25,+2.15,443,12995740
104/04/16,1064165,35.00,35.55,34.20,34.60,+1.35,667,37418018
104/04/17,382090,34.20,34.30,33.00,33.40,-1.20,293,12825330
104/04/20,218304,33.00,34.50,32.65,34.00,+0.60,439,7278970
104/04/21,264949,34.20,35.40,33.70,33.85,-0.15,426,9159128
104/04/22,238735,34.00,34.00,33.00,33.20,-0.65,291,7949278
104/04/23,90239,34.00,34.20,33.20,33.95,+0.75,83,3019197
104/04/24,119205,33.95,34.50,33.55,33.95,0.00,80,4055313
104/04/27,589718,34.50,36.30,34.50,36.30,+2.35,360,20981603
104/04/28,874418,37.10,38.80,36.50,38.80,+2.50,508,33228044
104/04/29,1145259,39.50,41.40,38.85,40.00,+1.20,774,46041088
104/04/30,450662,40.30,40.60,39.15,40.20,+0.20,342,18038909
104/05/04,552481,40.20,40.20,38.70,38.75,-1.45,398,21659305
104/05/05,626358,38.50,38.50,36.50,36.50,-2.25,373,23334060
104/05/06,360012,36.55,38.00,36.55,37.35,+0.85,228,13441198
104/05/07,888774,34.75,36.40,34.75,35.10,-2.25,474,31115116
104/05/08,218040,35.05,35.40,34.50,34.75,-0.35,146,7593336
104/05/11,329079,34.75,34.75,32.35,32.45,-2.30,200,10775052
104/05/12,243119,32.00,34.50,31.50,34.00,+1.55,177,7966644
104/05/13,171353,34.00,34.60,33.60,33.80,-0.20,108,5848829
104/05/14,145103,33.00,33.75,32.45,32.75,-1.05,100,4739259
104/05/15,97270,32.75,32.75,32.40,32.75,0.00,95,3164730
104/05/18,226229,33.00,34.95,33.00,34.10,+1.35,249,7772399
104/05/19,98116,34.90,34.90,33.85,34.10,0.00,137,3358110
104/05/20,61005,34.50,34.50,33.75,33.90,-0.20,44,2075120
104/05/21,95510,33.90,33.90,33.45,33.65,-0.25,60,3208732
104/05/22,52006,34.20,34.20,33.65,33.80,+0.15,35,1758900
104/05/25,51101,34.00,34.00,33.10,33.50,-0.30,50,1712001
104/05/26,76103,33.80,33.80,32.80,32.90,-0.60,66,2511753
104/05/27,419187,32.50,32.50,30.60,30.70,-2.20,236,12938079
104/05/28,542514,31.45,31.45,28.60,28.65,-2.05,346,15684987
104/05/29,202104,28.70,29.90,28.70,29.05,+0.40,134,5910422
104/06/01,274100,29.10,29.15,26.80,27.50,-1.55,191,7515598
104/06/02,97178,27.80,28.00,27.30,27.80,+0.30,80,2697484
104/06/03,100007,27.60,27.80,27.20,27.35,-0.45,71,2741110
104/06/04,111003,27.45,28.10,27.00,27.45,+0.10,80,3048640
104/06/05,140016,27.10,27.10,25.05,25.80,-1.65,100,3624530
104/06/08,166000,25.80,25.80,24.15,24.80,-1.00,119,4126300
104/06/09,127000,24.80,25.20,24.60,25.00,+0.20,91,3151650
104/06/10,113001,24.80,25.00,24.15,24.50,-0.50,75,2777277
104/06/11,428899,24.60,24.60,22.05,22.70,-1.80,238,9840960
104/06/12,391000,22.75,24.95,22.75,24.95,+2.25,214,9646500
104/06/15,467105,25.50,26.80,25.50,25.80,+0.85,308,12196111
104/06/16,130203,25.80,26.00,25.00,25.15,-0.65,104,3302890
104/06/17,77001,25.50,25.85,25.05,25.30,+0.15,56,1947027
104/06/18,116000,25.30,25.80,25.15,25.70,+0.40,56,2953500
104/06/22,67000,26.20,26.20,25.55,25.75,+0.05,48,1724400
104/06/23,48018,25.75,26.50,25.65,25.80,+0.05,43,1239771
104/06/24,55201,27.00,27.00,25.80,25.80,0.00,48,1439026
104/06/25,41002,26.15,26.15,25.80,25.85,+0.05,34,1060556
104/06/26,294000,26.20,27.75,26.05,27.00,+1.15,214,7941450
104/06/29,281075,27.80,28.40,27.00,28.35,+1.35,179,7864917
104/06/30,194075,28.60,29.75,27.75,27.75,-0.60,150,5543837
104/07/01,66019,28.40,28.40,27.75,27.95,+0.20,52,1858840
104/07/02,238104,28.50,29.60,28.50,29.50,+1.55,166,6953005
104/07/03,275081,30.00,30.45,29.25,30.30,+0.80,194,8272211
104/07/06,86401,30.00,30.10,29.00,29.40,-0.90,74,2543067
104/07/07,94005,30.05,30.05,28.60,29.00,-0.40,82,2722160
104/07/08,136001,28.50,28.50,26.70,26.80,-2.20,101,3707730
104/07/09,36006,26.30,27.70,26.30,27.50,+0.70,34,974665
104/07/13,67004,27.60,27.60,26.80,27.40,-0.10,44,1819770
104/07/14,51010,27.20,28.20,27.20,27.55,+0.15,30,1409476
104/07/15,49000,28.30,28.30,27.55,27.55,0.00,29,1357150
104/07/16,24003,28.05,28.05,27.55,27.65,+0.10,24,666340
104/07/17,45120,27.95,27.95,27.30,27.35,-0.30,32,1243297
104/07/20,69025,27.25,27.25,26.05,26.05,-1.30,44,1839980
104/07/21,97002,26.00,26.00,25.35,25.35,-0.70,48,2484656
104/07/22,113029,25.10,25.10,24.55,25.00,-0.35,66,2804932
104/07/23,45013,25.00,25.90,24.60,24.90,-0.10,44,1128575
104/07/24,36006,25.55,25.55,24.70,25.15,+0.25,36,898112
104/07/27,140016,25.00,25.00,23.30,23.30,-1.85,89,3383300
104/07/28,71044,22.90,23.60,22.90,23.35,+0.05,66,1652074
104/07/29,83116,24.00,25.00,23.40,24.40,+1.05,66,2015694
104/07/30,73802,22.50,24.30,22.50,24.30,,62,1702307
104/07/31,23072,23.80,24.05,23.05,23.80,-0.50,22,544699
104/08/03,30051,24.60,24.60,23.10,24.00,+0.20,30,714988
104/08/04,45051,24.50,24.50,23.00,23.00,-1.00,34,1059381
104/08/05,23401,22.05,23.50,22.05,22.90,-0.10,39,529492
104/08/06,6024,23.80,23.80,22.65,23.35,+0.45,12,140060
104/08/07,8312,23.10,23.80,23.10,23.35,0.00,22,195355
104/08/10,205003,25.15,25.25,23.00,23.60,+0.25,108,4970325
104/08/11,59002,23.60,24.00,23.00,23.05,-0.55,40,1368996
104/08/12,91301,22.80,22.80,22.10,22.70,-0.35,61,2039721
104/08/13,19254,22.25,23.40,22.25,23.40,+0.70,19,432207
104/08/14,22008,22.60,22.80,22.50,22.80,-0.60,20,496185
104/08/17,63004,22.25,22.30,22.00,22.00,-0.80,35,1393446
104/08/18,33061,22.45,22.45,21.50,21.80,-0.20,30,721974
104/08/19,78300,22.80,22.80,21.00,21.90,+0.10,51,1675304
104/08/20,56142,22.30,22.30,21.10,21.20,-0.70,37,1200987
104/08/21,114012,21.00,21.00,20.05,20.40,-0.80,74,2322376
104/08/24,224200,19.70,20.10,18.50,19.00,-1.40,99,4224200
104/08/25,57114,19.00,19.00,18.30,18.90,-0.10,41,1068268
104/08/26,129010,18.70,18.80,18.20,18.70,-0.20,65,2392490
104/08/27,77036,18.70,19.70,18.70,19.25,+0.55,50,1471728
