軒郁,	6703
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
109/10/20,1066150,125.00,127.00,118.00,121.00,+24.10,832,129946650
109/10/21,330397,122.00,123.00,120.50,120.50,-0.50,273,40134337
109/10/22,361205,118.50,118.50,115.00,115.00,-5.50,308,41962672
109/10/23,202370,116.00,120.50,115.50,118.00,+3.00,183,23931660
109/10/26,116042,118.50,118.50,115.00,115.50,-2.50,128,13531548
109/10/27,94900,116.00,116.00,113.00,114.00,-1.50,100,10827180
109/10/28,384254,114.00,114.00,107.00,107.50,-6.50,318,41875855
109/10/29,157496,106.00,106.00,103.50,105.00,-2.50,161,16445966
109/10/30,299966,106.00,110.00,105.00,107.50,+2.50,245,32245253
109/11/02,163280,106.50,108.50,105.00,108.00,+0.50,141,17454847
109/11/03,98126,108.00,109.00,107.00,107.00,-1.00,90,10615137
109/11/04,117061,108.00,108.00,105.00,106.00,-1.00,107,12406230
109/11/05,71065,106.50,108.00,105.00,107.00,+1.00,60,7576959
109/11/06,311056,108.00,116.00,107.50,113.00,+6.00,283,34879931
109/11/09,279535,112.00,113.00,110.00,111.00,-2.00,245,31000486
109/11/10,113150,112.00,112.00,108.50,108.50,-2.50,103,12381150
109/11/11,129750,109.50,112.00,109.50,112.00,+3.50,113,14323500
109/11/12,69230,112.00,112.00,109.50,110.00,-2.00,65,7623520
109/11/13,104550,110.00,114.50,110.00,112.50,+2.50,103,11805725
109/11/16,118308,111.00,112.00,110.50,112.00,-0.50,115,13168556
109/11/17,227271,113.50,117.00,113.00,115.50,+3.50,201,26209093
109/11/18,147631,116.50,116.50,113.50,114.50,-1.00,142,16966108
109/11/19,86356,115.00,115.50,113.50,115.50,+1.00,87,9898660
109/11/20,97200,115.50,116.00,114.00,116.00,+0.50,91,11176725
109/11/23,84010,116.50,118.00,115.00,115.00,-1.00,84,9760690
109/11/24,253502,115.00,115.00,111.00,111.00,-4.00,209,28577534
109/11/25,94318,111.00,114.00,111.00,113.50,+2.50,95,10646374
109/11/26,89392,113.50,113.50,111.50,112.00,-1.50,84,10010206
109/11/27,81676,112.00,114.50,112.00,113.00,+1.00,79,9257660
109/11/30,112431,113.00,115.00,113.00,114.00,+1.00,117,12828895
