富驊,	5465
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,408185,14.90,15.30,14.90,15.10,+0.10,148,6132141
104/01/06,589001,14.90,15.00,14.20,14.40,-0.70,226,8611962
104/01/07,473792,14.35,14.70,14.35,14.60,+0.20,143,6888083
104/01/08,298282,14.65,14.80,14.25,14.40,-0.20,137,4322309
104/01/09,94207,14.50,14.60,14.50,14.60,+0.20,52,1368509
104/01/12,418552,14.90,15.20,14.60,14.60,0.00,169,6213179
104/01/13,112784,14.80,14.80,14.50,14.55,-0.05,49,1647289
104/01/14,91755,14.60,14.75,14.55,14.55,0.00,52,1342482
104/01/15,1115841,14.55,15.55,14.55,15.55,+1.00,349,17153971
104/01/16,4435923,16.35,16.60,16.10,16.55,+1.00,1253,72996923
104/01/19,2371215,16.55,16.55,15.80,15.85,-0.70,878,38293871
104/01/20,716014,15.85,16.35,15.85,16.35,+0.50,334,11526674
104/01/21,716162,16.35,16.35,15.80,15.85,-0.50,261,11457540
104/01/22,480721,15.90,16.15,15.85,15.85,0.00,151,7650753
104/01/23,297815,15.85,16.10,15.85,16.10,+0.25,118,4770690
104/01/26,470252,16.30,16.30,15.70,15.75,-0.35,172,7468352
104/01/27,482018,15.90,16.30,15.90,16.30,+0.55,199,7744789
104/01/28,2377831,16.30,17.40,16.30,17.40,+1.10,833,41066392
104/01/29,2526022,17.75,18.30,16.90,16.90,-0.50,982,44678064
104/01/30,914985,16.90,17.60,16.90,17.10,+0.20,419,15773740
104/02/02,400140,17.30,17.45,17.00,17.40,+0.30,188,6894520
104/02/03,497684,17.40,18.00,17.40,17.45,+0.05,232,8781900
104/02/04,385998,17.45,17.55,17.00,17.40,-0.05,192,6677066
104/02/05,925928,17.20,17.95,16.55,17.40,0.00,387,15986054
104/02/06,471171,17.20,17.20,16.70,16.75,-0.65,198,7946487
104/02/09,797663,16.35,16.95,16.00,16.65,-0.10,227,13112704
104/02/10,633311,16.65,17.40,16.65,17.40,+0.75,253,10835927
104/02/11,3276842,17.90,18.60,17.30,17.40,0.00,1038,59530512
104/02/12,546091,17.30,17.65,17.00,17.40,0.00,247,9427770
104/02/13,313178,17.20,17.60,17.20,17.30,-0.10,146,5417710
104/02/24,475302,17.55,18.30,17.50,17.70,+0.40,177,8441413
104/02/25,742364,17.70,18.20,17.70,18.00,+0.30,273,13371561
104/02/26,392148,18.00,18.10,17.70,17.80,-0.20,129,7017858
104/03/02,129784,17.80,18.20,17.70,17.80,0.00,69,2313276
104/03/03,237414,17.95,18.15,17.85,17.95,+0.15,105,4268468
104/03/04,1099807,17.90,19.20,17.80,18.70,+0.75,386,20490808
104/03/05,1039639,18.70,19.00,18.25,18.65,-0.05,517,19402871
104/03/06,403843,18.75,19.15,18.55,18.60,-0.05,208,7600245
104/03/09,770051,18.50,18.50,17.85,17.90,-0.70,267,13890368
104/03/10,442412,18.10,18.15,17.60,17.60,-0.30,179,7922835
104/03/11,932564,17.20,17.35,16.70,17.10,-0.50,378,15821938
104/03/12,216140,17.05,17.30,16.85,16.95,-0.15,94,3677372
104/03/13,191761,17.20,17.20,17.00,17.10,+0.15,79,3286637
104/03/16,150172,17.25,17.25,16.95,17.20,+0.10,66,2555890
104/03/17,205245,17.20,17.65,17.10,17.35,+0.15,95,3567613
104/03/18,186103,17.50,17.55,17.05,17.05,-0.30,100,3211854
104/03/19,120424,17.35,17.35,17.10,17.15,+0.10,56,2075258
104/03/20,147928,17.30,17.50,17.10,17.25,+0.10,48,2551318
104/03/23,83590,17.50,17.50,17.15,17.15,-0.10,51,1447517
104/03/24,422097,16.80,17.20,16.80,16.85,-0.30,131,7121982
104/03/25,172478,16.80,16.90,16.60,16.60,-0.25,83,2881881
104/03/26,167182,16.75,16.80,16.55,16.80,+0.20,57,2792784
104/03/27,242073,16.95,17.25,16.85,16.90,+0.10,108,4103331
104/03/30,138752,17.25,17.25,16.50,16.60,-0.30,62,2328007
104/03/31,106363,16.85,16.85,16.50,16.75,+0.15,57,1766416
104/04/01,67583,16.80,16.80,16.50,16.65,-0.10,34,1122169
104/04/02,179839,16.65,16.65,16.40,16.50,-0.15,63,2966808
104/04/07,260781,16.60,16.60,15.80,15.80,-0.70,102,4218114
104/04/08,436212,15.80,15.95,15.35,15.85,+0.05,140,6812539
104/04/09,286501,15.90,16.80,15.90,16.50,+0.65,123,4690863
104/04/10,455968,16.70,17.65,16.60,17.25,+0.75,179,7881188
104/04/13,251541,17.20,17.25,17.00,17.10,-0.15,94,4306697
104/04/14,234000,16.80,17.40,16.80,17.30,+0.20,93,4038350
104/04/15,111755,17.15,17.35,17.10,17.15,-0.15,49,1923697
104/04/16,176003,17.35,17.35,17.05,17.05,-0.10,63,3033300
104/04/17,84001,17.35,17.35,16.90,17.00,-0.05,28,1427617
104/04/20,67282,17.00,17.00,16.80,16.85,-0.15,29,1138001
104/04/21,123011,17.00,17.00,16.20,16.40,-0.45,65,2038282
104/04/22,63116,16.45,16.60,16.00,16.50,+0.10,30,1037102
104/04/23,90787,16.50,16.50,16.20,16.25,-0.25,42,1484198
104/04/24,108179,16.65,16.65,16.20,16.25,0.00,39,1759331
104/04/27,1041306,16.50,17.35,16.50,17.35,+1.10,239,18051903
104/04/28,561157,17.05,17.35,16.90,16.90,-0.45,193,9583885
104/04/29,157606,17.60,17.60,16.80,16.90,0.00,85,2719430
104/04/30,178000,17.00,17.30,16.80,16.95,+0.05,70,3035450
104/05/04,113200,16.95,16.95,16.35,16.55,-0.40,56,1870250
104/05/05,218182,16.40,16.40,16.00,16.20,-0.35,80,3516425
104/05/06,126606,16.00,16.25,15.90,16.20,0.00,52,2030256
104/05/07,46187,16.50,16.50,16.15,16.35,+0.15,27,753529
104/05/08,102621,16.30,16.30,15.95,16.00,-0.35,38,1650929
104/05/11,209517,16.00,16.20,15.95,16.00,0.00,89,3352662
104/05/12,71406,15.95,16.00,15.85,15.95,-0.05,36,1136835
104/05/13,90526,15.95,16.05,15.80,15.90,-0.05,42,1445916
104/05/14,135200,15.90,15.90,15.40,15.40,-0.50,60,2104209
104/05/15,65000,15.60,15.60,15.45,15.55,+0.15,27,1010450
104/05/18,129003,15.55,15.55,14.60,15.45,-0.10,64,1934445
104/05/19,100000,15.40,15.65,15.15,15.65,+0.20,43,1543600
104/05/20,73000,15.65,15.70,15.40,15.40,-0.25,26,1129800
104/05/21,109335,15.30,15.40,15.20,15.40,0.00,34,1676909
104/05/22,457000,15.40,15.80,15.00,15.40,0.00,128,7008950
104/05/25,71568,15.15,15.30,15.10,15.10,-0.30,19,1082020
104/05/26,257037,15.10,15.15,14.40,14.40,-0.70,79,3802680
104/05/27,131770,14.50,14.70,14.25,14.45,+0.05,75,1908999
104/05/28,62260,14.70,14.70,14.35,14.35,-0.10,31,899991
104/05/29,123988,14.15,14.25,14.10,14.15,-0.20,55,1755632
104/06/01,204092,14.15,14.20,13.70,14.10,-0.05,57,2857688
104/06/02,51200,14.10,14.50,14.00,14.00,-0.10,25,726920
104/06/03,61427,14.35,14.35,13.80,14.20,+0.20,30,862992
104/06/04,59000,14.20,14.25,13.95,14.00,-0.20,30,827500
104/06/05,65000,13.55,14.20,13.55,14.00,0.00,31,907350
104/06/08,27491,13.80,14.10,13.80,14.00,0.00,13,382874
104/06/09,139155,14.00,14.15,13.90,14.00,0.00,51,1947504
104/06/10,47000,13.80,14.00,13.80,14.00,0.00,15,655900
104/06/11,93000,14.00,14.60,13.95,14.25,+0.25,32,1304050
104/06/12,29000,14.50,14.50,14.00,14.00,-0.25,16,409900
104/06/15,112000,14.00,14.00,13.80,13.80,-0.20,22,1564200
104/06/16,130928,14.00,14.85,14.00,14.20,+0.40,34,1874534
104/06/17,32000,14.20,14.20,14.00,14.00,-0.20,12,450650
104/06/18,78084,13.85,14.10,13.85,14.10,+0.10,26,1094076
104/06/22,53000,14.30,14.30,13.95,14.00,-0.10,15,743300
104/06/23,48179,14.05,14.05,13.90,14.00,0.00,19,673488
104/06/24,156000,13.80,14.20,13.80,14.10,+0.10,29,2179900
104/06/25,169999,14.00,14.25,13.95,14.25,+0.15,30,2399185
104/06/26,68000,14.05,14.25,13.95,14.25,0.00,20,956450
104/06/29,5000,14.25,14.25,14.25,14.25,0.00,4,71250
104/06/30,43061,14.25,14.25,13.90,14.15,-0.10,13,608604
104/07/01,13388,14.20,14.20,14.00,14.00,-0.15,12,188293
104/07/02,145000,14.00,14.20,14.00,14.00,0.00,25,2032400
104/07/03,22350,14.00,14.00,13.90,13.95,-0.05,9,312065
104/07/06,114542,13.80,13.95,13.65,13.95,0.00,18,1593729
104/07/07,63732,13.95,14.00,13.65,13.95,0.00,28,882000
104/07/08,54250,13.70,13.95,13.05,13.95,0.00,34,738000
104/07/09,10212,13.60,13.95,13.55,13.95,0.00,11,140475
104/07/13,30000,13.80,13.90,13.60,13.80,-0.15,22,411800
104/07/14,61171,13.80,13.90,12.75,13.90,+0.10,48,822809
104/07/15,6000,13.80,13.90,13.55,13.90,0.00,6,82900
104/07/16,106000,13.50,13.90,13.50,13.85,-0.05,43,1453700
104/07/17,54211,13.65,13.85,13.55,13.80,-0.05,24,744140
104/07/20,30563,13.80,13.80,13.25,13.75,-0.05,26,416256
104/07/21,30000,13.80,13.80,13.80,13.80,+0.05,10,414000
104/07/22,1044,13.80,13.80,13.80,13.80,0.00,2,14402
104/07/23,36291,13.40,14.10,13.40,13.80,0.00,14,491636
104/07/24,45897,14.15,14.15,13.40,13.50,-0.30,20,622519
104/07/27,16000,13.35,13.35,13.20,13.20,-0.30,9,213150
104/07/28,48200,13.20,13.40,12.95,13.00,-0.20,20,628280
104/07/29,6000,12.55,13.10,12.55,12.55,-0.45,4,76400
104/07/30,47096,12.60,12.80,12.60,12.65,+0.10,17,594550
104/07/31,116000,12.20,12.65,12.00,12.60,-0.05,30,1440100
104/08/03,111999,12.20,12.20,11.40,12.00,-0.60,65,1303787
104/08/04,299000,11.60,11.95,11.00,11.85,-0.15,88,3429100
104/08/05,172000,11.50,11.95,11.10,11.95,+0.10,56,1988800
104/08/06,1000,12.90,12.90,12.90,12.90,+0.95,1,12900
104/08/07,47000,13.95,13.95,12.25,13.80,+0.90,33,614400
104/08/10,33000,13.20,13.20,12.75,13.05,-0.75,19,428550
104/08/11,23000,12.75,13.15,12.60,12.60,-0.45,11,293150
104/08/12,14130,12.30,12.40,12.30,12.40,-0.20,5,174899
104/08/13,4000,12.80,12.80,12.20,12.20,-0.20,4,49700
104/08/14,19000,12.20,12.60,12.00,12.50,+0.30,13,235000
104/08/17,1000,12.55,12.55,12.55,12.55,+0.05,1,12550
104/08/18,34004,12.75,13.65,12.00,13.00,+0.45,18,422251
104/08/19,30150,13.00,13.00,12.00,12.00,-1.00,12,372535
104/08/20,167999,11.50,12.00,11.00,11.80,-0.20,34,1873687
104/08/21,95786,11.10,11.75,10.90,11.65,-0.15,50,1071867
104/08/24,23928,11.00,11.40,11.00,11.35,,6,271236
104/08/25,142129,11.00,11.00,10.25,10.60,-0.75,68,1469704
104/08/26,86103,10.40,11.45,10.00,11.45,+0.85,32,920049
104/08/27,73000,11.40,12.40,11.40,12.20,+0.75,29,878700
104/08/28,33000,13.05,13.05,12.00,12.00,-0.20,14,401750
104/08/31,38000,12.00,12.00,11.00,11.80,-0.20,16,431900
104/09/01,84000,11.00,11.20,11.00,11.00,-0.80,38,928350
104/09/02,34783,10.70,11.10,10.60,10.75,-0.25,20,374427
104/09/03,5865,11.20,11.30,11.20,11.30,+0.55,7,65787
104/09/04,0,---,---,---,---,---,0,0
104/09/07,5048,11.20,11.30,10.95,10.95,-0.30,4,56473
104/09/08,5000,10.90,11.25,10.90,11.25,+0.30,3,54850
104/09/09,53963,11.00,11.30,10.60,11.00,-0.25,29,581546
104/09/10,12000,10.65,10.95,10.60,10.95,-0.05,10,129650
104/09/11,44000,10.75,10.80,10.50,10.80,-0.15,22,468550
104/09/14,17000,10.70,10.80,10.50,10.55,-0.25,13,180550
104/09/15,32999,10.50,10.55,10.00,10.55,0.00,26,342989
104/09/16,27411,10.50,10.50,10.20,10.50,-0.05,22,284574
104/09/17,47785,10.45,10.75,10.45,10.55,+0.05,28,501892
104/09/18,27000,10.55,10.70,10.55,10.70,+0.15,13,285750
104/09/21,39575,10.30,10.70,10.30,10.70,0.00,19,415995
104/09/22,3000,10.85,10.85,10.70,10.70,0.00,2,32250
