大世科,	8099
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,514703,22.00,23.10,22.00,23.10,+1.50,243,11801238
104/01/06,626230,22.40,22.90,22.40,22.75,-0.35,346,14204077
104/01/07,2200475,23.40,24.30,23.40,23.80,+1.05,953,53142728
104/01/08,690000,23.40,23.85,23.40,23.55,-0.25,318,16243200
104/01/09,291575,23.55,23.80,23.30,23.60,+0.05,165,6876695
104/01/12,231000,23.80,23.85,23.40,23.40,-0.20,139,5446500
104/01/13,231080,23.50,23.65,23.15,23.20,-0.20,98,5392180
104/01/14,617815,23.60,24.20,23.30,23.40,+0.20,329,14661348
104/01/15,145350,23.30,23.45,23.15,23.45,+0.05,102,3383226
104/01/16,196257,23.35,23.35,22.80,22.80,-0.65,111,4501484
104/01/19,150051,23.20,23.25,22.30,22.30,-0.50,73,3412489
104/01/20,225121,22.40,23.10,22.30,23.10,+0.80,133,5102495
104/01/21,70000,23.00,23.00,22.75,22.85,-0.25,48,1599000
104/01/22,92000,22.35,23.35,22.35,22.60,-0.25,66,2099350
104/01/23,119000,22.90,22.90,22.50,22.75,+0.15,65,2702600
104/01/26,574163,24.20,24.20,23.00,23.05,+0.30,341,13529182
104/01/27,114000,23.15,23.25,22.80,22.85,-0.20,74,2628600
104/01/28,69000,22.80,23.10,22.80,22.95,+0.10,40,1579600
104/01/29,62000,22.95,22.95,22.80,22.85,-0.10,39,1416300
104/01/30,96100,22.95,23.30,22.90,22.90,+0.05,54,2209985
104/02/02,51000,22.80,23.15,22.80,22.90,0.00,35,1168850
104/02/03,60180,23.00,23.10,22.85,22.85,-0.05,33,1380186
104/02/04,61000,22.95,23.00,22.80,22.95,+0.10,37,1398350
104/02/05,58478,22.95,23.00,22.85,22.90,-0.05,28,1338746
104/02/06,105000,23.10,23.15,22.70,22.90,0.00,57,2396500
104/02/09,46019,22.75,22.80,22.60,22.60,-0.30,30,1044483
104/02/10,76000,22.60,22.70,22.30,22.50,-0.10,46,1707200
104/02/11,46000,22.20,22.65,22.20,22.30,-0.20,33,1031850
104/02/12,48000,22.30,22.45,22.20,22.30,0.00,27,1072200
104/02/13,66000,22.30,22.35,22.20,22.20,-0.10,43,1470500
104/02/24,44111,22.35,22.40,22.20,22.40,+0.20,34,982175
104/02/25,151000,22.40,22.40,22.00,22.35,-0.05,48,3357500
104/02/26,20000,22.35,22.45,22.30,22.35,0.00,12,446700
104/03/02,86120,22.25,22.25,22.00,22.05,-0.30,47,1902740
104/03/03,87000,22.20,22.20,21.35,22.05,0.00,62,1891900
104/03/04,103296,22.30,22.30,21.75,22.25,+0.20,64,2274941
104/03/05,88136,22.25,22.25,21.90,22.20,-0.05,48,1944296
104/03/06,44000,22.60,22.60,22.30,22.40,+0.20,38,986600
104/03/09,49010,22.45,22.45,22.10,22.20,-0.20,32,1089474
104/03/10,39005,22.15,22.25,22.15,22.20,0.00,30,865511
104/03/11,426189,22.20,22.80,22.00,22.60,+0.40,144,9589352
104/03/12,89000,22.80,22.85,22.45,22.50,-0.10,56,2006600
104/03/13,1984536,24.00,24.05,23.70,23.80,+1.30,836,47644900
104/03/16,678001,23.50,24.00,23.40,24.00,+0.20,350,16035274
104/03/17,482515,24.10,24.50,23.60,23.60,-0.40,223,11591851
104/03/18,155140,24.00,24.00,23.65,23.80,+0.20,91,3689460
104/03/19,331005,24.10,24.20,23.80,23.85,+0.05,148,7943718
104/03/20,175115,23.85,24.15,23.80,23.95,+0.10,93,4199057
104/03/23,269304,23.90,24.30,23.90,24.00,+0.05,131,6508905
104/03/24,254357,24.15,24.45,24.00,24.30,+0.30,149,6161336
104/03/25,223407,24.35,24.45,23.90,23.95,-0.35,124,5377435
104/03/26,109000,23.95,24.40,23.90,24.35,+0.40,75,2640700
104/03/27,151000,24.35,24.55,23.95,23.95,-0.40,93,3656350
104/03/30,166300,24.00,24.60,23.95,24.15,+0.20,98,4035900
104/03/31,146040,24.15,24.20,23.60,23.80,-0.35,89,3490904
104/04/01,92071,24.10,24.10,23.65,23.80,0.00,56,2193737
104/04/02,128402,24.00,24.25,23.80,23.95,+0.15,61,3093007
104/04/07,141243,23.70,24.20,23.70,23.80,-0.15,80,3360682
104/04/08,144001,23.70,24.15,23.70,24.15,+0.35,74,3454924
104/04/09,83023,24.25,24.30,23.95,24.15,0.00,66,2004010
104/04/10,106013,24.25,24.40,23.90,24.10,-0.05,67,2548264
104/04/13,155190,24.10,24.50,23.90,24.50,+0.40,79,3735504
104/04/14,480223,24.50,25.45,24.40,25.00,+0.50,295,12024685
104/04/15,205100,25.60,25.60,24.90,25.10,+0.10,119,5143950
104/04/16,118000,25.10,25.40,25.05,25.10,0.00,76,2968550
104/04/17,138103,25.15,25.15,24.70,24.85,-0.25,80,3442479
104/04/20,112001,25.00,25.00,24.40,24.55,-0.30,58,2753974
104/04/21,159823,24.60,24.60,24.00,24.10,-0.45,98,3864102
104/04/22,96131,24.10,24.10,23.85,23.90,-0.20,55,2301122
104/04/23,61000,24.00,24.20,23.90,23.90,0.00,30,1465250
104/04/24,184143,23.90,24.20,23.85,23.85,-0.05,65,4420732
104/04/27,111700,23.90,24.00,23.75,23.75,-0.10,69,2662519
104/04/28,186644,23.75,23.80,23.40,23.50,-0.25,91,4400154
104/04/29,111070,23.50,23.60,23.30,23.30,-0.20,67,2600934
104/04/30,63115,23.35,23.60,23.35,23.35,+0.05,42,1480435
104/05/04,65000,23.60,23.60,23.30,23.30,-0.05,37,1519500
104/05/05,23133,23.35,23.35,23.30,23.30,0.00,19,539435
104/05/06,76130,23.30,23.30,23.05,23.15,-0.15,50,1765335
104/05/07,104000,23.50,23.80,23.30,23.30,+0.15,65,2434900
104/05/08,66051,23.60,23.60,23.30,23.35,+0.05,52,1546933
104/05/11,212000,23.75,23.75,23.00,23.00,-0.35,90,4917400
104/05/12,710050,22.50,22.55,21.40,21.85,-1.15,354,15420845
104/05/13,154000,21.90,22.00,21.70,21.80,-0.05,66,3367750
104/05/14,284201,21.80,21.80,20.85,21.10,-0.70,130,6034131
104/05/15,66223,21.15,21.30,21.10,21.30,+0.20,41,1404327
104/05/18,39053,21.30,21.50,21.05,21.50,+0.20,35,832947
104/05/19,61101,21.50,21.60,21.35,21.50,0.00,50,1311491
104/05/20,69079,21.75,21.85,21.70,21.85,+0.35,43,1502313
104/05/21,68000,21.85,21.85,21.50,21.65,-0.20,34,1469300
104/05/22,56051,21.65,21.90,21.65,21.90,+0.25,27,1220111
