矽瑪,	3511
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,55000,18.65,19.15,18.65,18.80,+0.25,35,1041050
104/01/06,14020,18.55,18.60,18.50,18.55,-0.25,10,259918
104/01/07,38000,18.90,18.90,18.60,18.65,+0.10,22,710300
104/01/08,1296442,19.95,19.95,19.80,19.95,+1.30,278,25849913
104/01/09,1060485,20.70,20.70,20.05,20.15,+0.20,528,21648450
104/01/12,380485,20.20,20.20,19.20,19.20,-0.95,176,7494062
104/01/13,315000,19.20,19.45,19.00,19.20,0.00,156,6041200
104/01/14,56050,19.05,19.40,19.05,19.20,0.00,39,1074110
104/01/15,218189,19.20,20.00,19.20,19.75,+0.55,115,4296882
104/01/16,86706,19.60,19.90,19.60,19.60,-0.15,44,1706443
104/01/19,438548,19.70,20.90,19.55,20.00,+0.40,224,8878675
104/01/20,883493,20.05,21.40,20.05,21.40,+1.40,391,18602250
104/01/21,1142126,21.80,22.40,21.45,22.20,+0.80,586,25124433
104/01/22,501307,22.20,22.90,21.75,22.00,-0.20,305,11180321
104/01/23,412500,22.20,22.60,21.85,22.20,+0.20,228,9174650
104/01/26,319382,23.00,23.00,22.00,22.20,0.00,172,7129191
104/01/27,313005,22.00,22.15,21.20,21.50,-0.70,159,6787907
104/01/28,256611,21.40,21.60,21.10,21.20,-0.30,103,5464563
104/01/29,234000,21.35,21.85,21.25,21.25,+0.05,132,5030000
104/01/30,158036,21.40,21.50,21.05,21.20,-0.05,73,3350209
104/02/02,201025,21.05,21.40,20.80,21.40,+0.20,76,4231076
104/02/03,596859,21.55,22.85,21.30,22.85,+1.45,253,13440226
104/02/04,570060,23.50,23.55,22.20,22.20,-0.65,317,13181138
104/02/05,196082,22.20,22.50,21.80,22.20,0.00,142,4341820
104/02/06,97500,22.00,22.00,21.25,21.50,-0.70,55,2112623
104/02/09,149050,22.30,22.30,21.05,21.30,-0.20,81,3189660
104/02/10,69050,21.10,21.45,21.10,21.15,-0.15,42,1465907
104/02/11,92201,21.15,21.40,21.05,21.15,0.00,35,1948581
104/02/12,192000,21.40,21.40,20.35,20.50,-0.65,105,3984050
104/02/13,79201,20.20,20.80,20.20,20.30,-0.20,52,1618810
104/02/24,81000,20.45,20.50,20.00,20.20,-0.10,50,1634900
