聯廣,	8497
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2017/03,171141,130063,166902,31.58,2.53,517142,524132,-1.33,-
2017/04,176119,171141,208653,2.90,-15.59,693261,732785,-5.39,-
2017/05,207380,176119,186237,17.74,11.35,900641,919022,-2.00,-
2017/06,242365,207380,243516,16.86,-0.47,1143006,1162538,-1.68,-
2017/07,240643,242365,188720,-0.71,27.51,1383649,1351258,2.39,-
2017/08,195170,240643,212723,-18.89,-8.25,1578819,1563981,0.94,-
2017/09,174218,195170,189448,-10.73,-8.03,1753037,1753429,-0.02,-
2017/10,152345,174218,194775,-12.55,-21.78,1905382,1948204,-2.19,-
2017/11,207511,152345,167444,36.21,23.92,2112893,2115648,-0.13,-
2017/12,244312,207511,250003,17.73,-2.27,2357205,2365651,-0.35,-
2018/01,199314,244312,215938,-18.41,-7.69,199314,215938,-7.69,-
2018/02,137705,199314,130063,-30.91,5.87,337019,346001,-2.59,-
2018/03,205865,137705,171141,49.49,20.28,542884,517142,4.97,-
2018/04,217333,205865,176119,5.57,23.40,760217,693261,9.65,-
2018/05,185904,217333,207380,-14.46,-10.35,946121,900641,5.04,-
2018/06,285808,185904,242365,53.73,17.92,1231929,1143006,7.77,-
2018/07,227202,285808,240643,-20.50,-5.58,1459131,1383649,5.45,-
2018/08,213024,227202,195170,-6.24,9.14,1672155,1578819,5.91,-
2018/09,191288,213024,174218,-10.20,9.79,1863443,1753037,6.29,-
2018/10,227092,191288,187293,18.71,21.24,2369682,2203007,7.56,-
2018/11,283566,227092,240316,24.86,17.99,2653248,2443323,8.59,-
2018/12,337981,283566,272889,19.18,23.85,2991229,2716212,10.12,-
2019/01,208376,337981,221304,-38.34,-5.84,208376,221304,-5.84,本公司依照會計準則相關規定追溯調整107年1月營收金額
2019/02,210138,208376,181793,0.84,15.59,455912,439178,3.81,107年10月合併揚叡、108年2月合併旺葆及取得米蘭營銷75%之股權故107年同期合併營收公告業已依相關規定追溯調整。
2019/03,317570,210138,293660,51.12,8.14,773482,732838,5.54,107年10月合併揚叡、108年2月合併旺葆及取得米蘭營銷75%之股權故107年同期合併營收公告業已依相關規定追溯調整。
2019/04,280620,317570,316375,-11.63,-11.30,1054102,1049213,0.46,107年10月合併揚叡、108年2月合併旺葆及取得米蘭營銷75%之股權故107年同期合併營收公告業已依相關規定追溯調整。
2019/05,287299,280620,273244,2.38,5.14,1341401,1322457,1.43,107年10月合併揚叡、108年2月合併旺葆及取得米蘭營銷75%之股權故107年同期合併營收公告業已依相關規定追溯調整。
2019/06,389438,287299,373420,35.55,4.28,1730839,1695877,2.06,107年10月合併揚叡、108年2月合併旺葆及取得米蘭營銷75%之股權故107年同期合併營收公告業已依相關規定追溯調整。
2019/07,327259,389438,286885,-15.96,14.07,2058098,1982762,3.79,107年10月合併揚叡、108年2月合併旺葆及取得米蘭營銷75%之股權故107年同期合併營收公告業已依相關規定追溯調整。
2019/08,330969,327259,297741,1.13,11.16,2389067,2280503,4.76,107年10月合併揚叡、108年2月合併旺葆及取得米蘭營銷75%之股權故107年同期合併營收公告業已依相關規定追溯調整。
