祺驊,	1593
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,184019,145925,38094,29755,8339,4030,9614,0.47,246000
2013 Q2,166948,133202,33746,34036,-290,1019,-461,0.11,260760
2013 Q3,228938,176497,52441,34304,18137,552,16792,0.72,260760
2013 Q4,821137,639626,181511,138199,43312,3198,37861,1.83,260760
2014 Q1,188536,143959,44577,35538,9039,2193,9430,0.45,260760
2014 Q2,219179,167433,51746,37251,14495,-1905,6217,0.30,276406
2014 Q3,253886,189649,64237,37842,26395,2098,24195,0.98,276406
2014 Q4,908021,691865,216156,150764,65392,4876,52849,2.30,276406
2015 Q1,200939,145024,55915,40351,15564,-367,13150,0.54,303006
2015 Q2,184980,140899,44081,38217,5864,-625,3763,0.20,303006
2015 Q3,236899,172984,63915,33309,30606,12939,37459,1.23,303006
2015 Q4,842821,608971,233850,162419,71431,30301,86764,3.21,303006
2016 Q1,179979,131390,48589,33150,15439,3059,16135,0.53,303006
2016 Q2,198729,135952,62777,30604,32173,-1258,25663,0.84,303006
2016 Q3,227223,157760,69463,31604,37859,-4179,28124,0.93,303006
2016 Q4,806307,567978,238329,127698,110631,8001,100409,3.30,303006
2017 Q1,172235,120560,51675,30511,21164,-10529,9421,0.31,303006
2017 Q2,185103,130738,54365,30582,23783,6175,25249,0.84,303006
2017 Q3,252748,169852,82896,32974,49922,3539,44230,1.45,303056
2017 Q4,834492,573094,261398,124059,137339,2789,114295,3.77,304320
2018 Q1,155868,115072,40796,30544,10252,-311,9544,0.31,319484
2018 Q2,176249,126786,49463,29715,19748,13379,28300,0.88,319484
