大田,	8924
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,1022959,919705,103254,138334,-34715,11815,-17963,-0.15,1212633
2013 Q2,895100,846583,48517,146714,-98197,-4581,-86106,-0.74,1212633
2013 Q3,850898,775611,75287,129866,-54579,5311,-40689,-0.35,1212633
2013 Q4,4416513,3952021,464492,560202,-95710,17036,-75519,-0.71,1212633
2014 Q1,1078582,897805,180777,130381,51033,-84885,-28826,-0.25,1212633
2014 Q2,739366,743353,-3987,136440,-140427,-15267,-129997,-1.09,1212633
2014 Q3,933690,836192,97498,129232,-31734,43087,8216,0.01,1212633
2014 Q4,4288568,3744444,544124,550601,-6047,-32810,-36527,-0.50,1212633
2015 Q1,1160539,982410,178129,151072,27292,15012,39537,0.31,1212633
2015 Q2,706698,734486,-27788,126595,-154383,23645,-108004,-0.91,1212633
2015 Q3,1030275,917918,112357,152705,-40348,35483,-9256,-0.09,1212633
2015 Q4,4501926,4024536,477390,611048,-132730,64956,-59122,-0.56,1212633
2016 Q1,1020041,1013601,6440,158280,-151840,-15554,-139192,-1.18,1212633
2016 Q2,889010,837530,51480,124482,-73002,1692,-60466,-0.50,1212633
2016 Q3,981547,832042,149505,136511,12994,-22853,-7000,-0.12,1212633
2016 Q4,3576161,3216165,359996,517285,-157289,-18802,-199026,-1.83,1212633
2017 Q1,656747,600336,56411,107222,-49942,-58483,-92474,-0.78,1212633
2017 Q2,768509,793420,-24911,108688,-132784,14298,-100776,-0.83,1212633
2017 Q3,1270601,863274,407327,178135,229192,4484,1165802,9.61,1212633
2017 Q4,3601318,2695722,905596,445910,461286,-81555,1065361,8.74,1212633
2018 Q1,1010735,867887,142848,109452,34004,-5545,25712,0.19,1212633
