華義,	3086
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,187934,111519,76415,88892,-12477,3157,-9337,-0.07,738003
2013 Q2,161542,95318,66224,93378,-27154,1356,-30718,-0.37,738003
2013 Q3,157362,91164,66198,100524,-34326,-3383,-38181,-0.47,738003
2013 Q4,628650,393423,235227,348498,-113271,2052,-111813,-1.33,738003
2014 Q1,105813,76225,29588,90185,-60597,27482,-33282,-0.38,738003
2014 Q2,169981,111789,58192,116788,-58596,-153,-59326,-0.76,738003
2014 Q3,107159,84985,22174,76196,-54022,-631,-54938,-0.88,738003
2014 Q4,460756,343811,116945,327596,-210651,28776,-181227,-3.09,592510
2015 Q1,111279,69248,42031,72425,-30394,-1022,-31973,-0.54,592850
2015 Q2,122449,76579,45870,74206,-28336,-2966,-31289,-0.52,597863
2015 Q3,94254,64312,29942,58448,-28506,-1687,-30423,-0.51,598117
2015 Q4,424785,278178,146607,270945,-124338,-9115,-132009,-2.21,598117
2016 Q1,95650,50661,44989,45810,-821,-4271,-4634,-0.08,609757
