晉倫,	6151
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,503288,426684,76604,46840,29764,-143,22416,0.43,22416,0,516424
2013 Q2,550088,459999,90089,49486,40603,3116,33104,0.64,55520,0,516424
2013 Q3,549323,456226,93097,76403,16694,-1555,9878,0.19,65398,0,516424
2013 Q4,2134918,1791508,343410,231049,112361,5233,84712,1.64,84712,0,516424
2014 Q1,495328,416813,78515,56409,22106,1692,18718,0.36,18718,0,516424
2014 Q2,563135,474324,88811,54512,34299,-2799,23383,0.42,42101,0,516424
2014 Q3,485626,414270,71356,50661,20695,81,16465,0.30,58566,0,552573
2014 Q4,2037851,1725907,311944,219478,92466,936,71828,1.30,71828,0,552573
2015 Q1,490521,398787,91734,52799,38935,882,31447,0.57,31447,0,552573
2015 Q2,511963,407849,104114,55226,48888,-7773,32912,0.59,64358,0,552573
2015 Q3,480068,383394,96674,58966,37708,5484,35477,0.64,99836,0,552573
