九暘,	8040
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,148633,93645,54988,77610,-22622,3639,-18983,-0.23,865553
2013 Q2,163139,97357,65782,79652,-13870,890,-12980,-0.16,865553
2013 Q3,157369,97811,59558,86442,-26884,1412,-25472,-0.31,865553
2013 Q4,639728,396197,243531,325978,-82447,6315,-76132,-0.92,865553
2014 Q1,153605,97719,55886,80240,-24354,1561,-22793,-0.28,865553
2014 Q2,170623,113448,57175,86889,-29714,1411,-28303,-0.34,865753
2014 Q3,167024,108481,58543,85633,-27090,1121,-25969,-0.31,866253
2014 Q4,665796,428194,237602,334043,-96441,2210,-94231,-1.14,866253
2015 Q1,178109,114363,63746,82893,-19147,-84,-19231,-0.23,866253
2015 Q2,162112,103935,58177,81180,-23003,-259,-23262,-0.28,851253
2015 Q3,171893,116849,55044,86320,-31276,9896,-21380,-0.26,851253
2015 Q4,734950,478451,256499,336900,-80401,10674,-69727,-0.84,836253
2016 Q1,217650,141308,76342,83160,-6818,3446,-3372,-0.04,827253
2016 Q2,212207,136712,75495,88507,-13012,10368,-2644,-0.03,827253
