昇華,	4806
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,n/a
2013 Q2,n/a
2013 Q3,n/a
2013 Q4,n/a
2014 Q1,n/a
2014 Q2,n/a
2014 Q3,n/a
2014 Q4,168748,71054,97694,32862,64832,8584,59337,3.12,220000
2015 Q1,n/a
2015 Q2,145193,84785,60408,20298,40110,1509,33601,1.53,220000
2015 Q3,34798,29641,5157,9988,-4831,5704,530,0.02,220000
2015 Q4,312777,199257,113520,42040,71480,9605,66183,3.01,220000
2016 Q1,114514,81688,32826,13040,19786,-307,16168,0.70,255000
2016 Q2,94927,96935,-2008,11453,-13461,-66,-13128,-0.51,255000
2016 Q3,203751,193538,10213,10245,-32,-2396,-1995,-0.08,255000
2016 Q4,542692,461735,80957,45928,35029,-1127,26259,1.08,255000
