台新全球AI,	00851
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/08/12,23000,20.09,20.28,20.09,20.28,0.36,7,465200
108/08/13,39000,20.30,20.48,20.29,20.48,0.20,19,795380
108/08/14,42000,20.58,20.72,20.58,20.72,0.24,13,868390
108/08/15,47000,20.36,20.57,20.32,20.35,0.37,30,960440
108/08/16,31000,20.08,20.23,20.08,20.22,0.13,11,626230
108/08/19,27000,20.25,20.40,20.25,20.40,0.18,5,547750
108/08/20,21000,20.50,20.65,20.50,20.65,0.25,3,433500
108/08/21,29000,20.57,20.58,20.57,20.58,0.07,4,596810
108/08/22,20000,20.68,20.68,20.65,20.65,0.07,4,413080
108/08/23,21000,20.69,20.74,20.69,20.74,0.09,4,434940
108/08/26,21000,20.19,20.28,20.16,20.28,0.46,5,425240
108/08/27,110000,20.64,20.64,20.53,20.53,0.25,11,2261000
108/08/28,22000,20.36,20.36,20.35,20.35,0.18,3,447900
108/08/29,23000,20.17,20.17,20.14,20.16,0.19,6,463640
108/08/30,24000,20.47,20.49,20.47,20.49,0.33,4,491340
108/09/02,20000,20.27,20.27,20.25,20.25,0.24,6,405090
108/09/03,31000,20.56,20.58,20.54,20.55,0.30,8,637220
108/09/04,21000,20.54,20.54,20.51,20.51,0.04,3,430740
108/09/05,22000,20.71,20.92,20.71,20.77,0.26,8,457680
108/08/12,23000,20.09,20.28,20.09,20.28,0.36,7,465200
108/08/13,39000,20.30,20.48,20.29,20.48,0.20,19,795380
108/08/14,42000,20.58,20.72,20.58,20.72,0.24,13,868390
108/08/15,47000,20.36,20.57,20.32,20.35,0.37,30,960440
108/08/16,31000,20.08,20.23,20.08,20.22,0.13,11,626230
108/08/19,27000,20.25,20.40,20.25,20.40,0.18,5,547750
108/08/20,21000,20.50,20.65,20.50,20.65,0.25,3,433500
108/08/21,29000,20.57,20.58,20.57,20.58,0.07,4,596810
108/08/22,20000,20.68,20.68,20.65,20.65,0.07,4,413080
108/08/23,21000,20.69,20.74,20.69,20.74,0.09,4,434940
108/08/26,21000,20.19,20.28,20.16,20.28,0.46,5,425240
108/08/27,110000,20.64,20.64,20.53,20.53,0.25,11,2261000
108/08/28,22000,20.36,20.36,20.35,20.35,0.18,3,447900
108/08/29,23000,20.17,20.17,20.14,20.16,0.19,6,463640
108/08/30,24000,20.47,20.49,20.47,20.49,0.33,4,491340
108/09/02,20000,20.27,20.27,20.25,20.25,0.24,6,405090
108/09/03,31000,20.56,20.58,20.54,20.55,0.30,8,637220
108/09/04,21000,20.54,20.54,20.51,20.51,0.04,3,430740
108/09/05,22000,20.71,20.92,20.71,20.77,0.26,8,457680
108/09/06,21000,21.07,21.07,21.01,21.01,0.24,8,441800
108/09/09,24000,20.99,20.99,20.97,20.98,0.03,7,503720
108/09/10,37000,20.83,20.83,20.81,20.81,0.17,5,770650
108/09/11,23000,20.73,20.77,20.71,20.77,0.04,6,477330
108/09/12,26000,20.92,20.96,20.92,20.93,0.16,10,544030
108/09/16,26000,20.98,21.03,20.98,21.00,0.07,7,546270
108/09/17,22000,21.02,21.02,20.96,20.96,0.04,6,461430
108/09/18,20000,20.94,20.94,20.94,20.94,0.02,4,418800
108/09/19,20000,20.87,20.87,20.87,20.87,0.07,2,417400
108/09/20,21000,21.01,21.01,20.98,20.98,0.11,3,441180
108/09/23,23000,20.81,20.82,20.81,20.81,0.17,4,478830
108/09/24,24000,20.77,20.77,20.74,20.76,0.05,7,498030
108/09/25,23000,20.41,20.41,20.40,20.41,0.35,7,469240
108/09/26,22000,20.59,20.59,20.54,20.54,0.13,6,452440
108/09/27,20000,20.57,20.57,20.57,20.57,0.03,2,411400
108/10/01,22000,20.36,20.36,20.34,20.34,0.23,7,447690
108/10/02,27000,20.12,20.17,20.06,20.17,0.17,15,542640
108/10/03,25000,20.02,20.02,19.98,19.98,0.19,14,499940
108/10/04,21000,20.18,20.28,20.18,20.28,0.30,3,423880
108/10/07,20000,20.24,20.24,20.24,20.24,0.04,2,404800
108/10/08,22000,20.32,20.33,20.31,20.31,0.07,4,447230
108/10/09,35000,19.89,19.90,19.84,19.84,0.47,20,695480
108/10/14,22000,20.46,20.48,20.39,20.39,0.55,15,450160
108/10/15,20000,20.31,20.31,20.31,20.31,0.08,2,406200
108/10/16,20000,20.55,20.57,20.54,20.57,0.26,5,411320
108/10/17,20000,20.44,20.44,20.44,20.44,0.13,2,408800
108/10/18,23000,20.44,20.44,20.40,20.40,0.04,6,469240
108/10/21,35000,20.30,20.30,20.08,20.10,0.30,11,703450
108/10/22,22000,20.12,20.13,20.11,20.11,0.01,4,442830
108/10/23,20000,19.98,19.98,19.93,19.95,0.16,7,399110
108/10/24,24000,19.95,19.95,19.95,19.95,,5,478800
108/10/25,23000,20.26,20.26,20.24,20.25,0.30,8,465660
108/10/28,47000,20.59,20.64,20.59,20.60,0.35,21,969000
108/10/29,22000,20.80,20.82,20.79,20.79,0.19,8,457590
108/10/30,22000,20.79,20.79,20.57,20.57,0.22,7,453660
108/10/31,20000,20.72,20.72,20.72,20.72,0.15,2,414400
108/11/01,21000,20.70,20.70,20.70,20.70,0.02,5,434700
108/11/04,21000,20.73,20.77,20.73,20.77,0.07,3,436130
108/11/05,23000,20.90,20.90,20.90,20.90,0.13,7,480700
108/11/06,22000,20.88,20.90,20.88,20.90,,5,459560
108/11/07,20000,20.81,20.83,20.81,20.83,0.07,4,416560
108/11/08,22000,20.86,20.86,20.84,20.84,0.01,4,458880
108/11/11,22000,20.88,20.90,20.88,20.90,0.06,4,459580
108/11/12,290000,21.00,21.03,20.99,21.03,0.13,154,6091340
108/11/13,315000,21.04,21.09,21.04,21.05,0.02,171,6633840
108/11/14,162000,21.13,21.13,21.06,21.08,0.03,87,3416850
108/11/15,203000,21.10,21.11,21.09,21.09,0.01,93,4283310
108/11/18,219000,21.17,21.18,21.13,21.16,0.07,117,4634410
108/11/19,246000,21.23,21.26,21.20,21.26,0.10,128,5223640
108/11/20,103000,21.33,21.34,21.26,21.29,0.03,65,2193770
108/11/21,206000,21.49,21.49,21.14,21.14,0.15,94,4367070
108/11/22,61000,21.25,21.25,21.03,21.06,0.08,33,1284040
108/11/25,148000,21.06,21.06,20.84,20.84,0.22,85,3094220
108/11/26,129000,21.07,21.08,21.03,21.03,0.19,24,2717230
108/11/27,57000,21.03,21.05,21.03,21.03,,25,1199260
108/11/28,73000,21.08,21.15,21.08,21.15,0.12,30,1541170
108/11/29,23000,21.11,21.11,21.08,21.10,0.05,10,485240
