牧德,	3563
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/04/02,1308180,448.50,453.00,430.00,430.00,X,1210,582370100
108/04/03,1487233,438.00,447.00,437.00,437.00,7.00,1365,656739986
108/04/08,1045561,440.00,442.50,427.00,428.00,9.00,957,450506535
108/04/09,424031,428.00,433.50,425.00,428.50,0.50,395,182238640
108/04/10,442306,432.00,437.00,429.50,431.50,3.00,432,191484648
108/04/11,523155,435.00,438.50,430.50,431.00,0.50,472,227164855
108/04/12,645414,432.50,434.50,420.50,422.50,8.50,596,274460450
108/04/15,414822,427.50,427.50,418.00,420.50,2.00,397,175135292
108/04/16,321885,423.00,424.50,418.50,419.00,1.50,316,135348585
108/04/17,479062,422.50,430.00,421.50,427.50,8.50,485,204146503
108/04/18,1622311,439.00,446.50,430.00,434.00,6.50,1519,710796708
108/04/19,562150,440.00,441.50,433.00,435.00,1.00,537,245344500
108/04/22,444265,443.50,444.00,438.00,438.00,3.00,459,195645070
108/04/23,423073,439.00,443.00,433.00,442.50,4.50,403,185750798
108/04/24,1771779,450.00,458.50,447.50,449.00,6.50,1589,802569050
108/04/25,549322,449.00,452.50,442.00,443.00,6.00,533,244595790
108/04/26,332176,440.50,441.50,435.50,438.00,5.00,299,145582116
108/04/29,538320,440.00,441.50,425.00,425.00,13.00,517,231732640
108/04/30,332527,420.50,426.00,420.00,421.50,3.50,325,140487683
108/05/02,262332,421.50,429.00,421.50,429.00,7.50,275,111468428
108/05/03,411020,429.50,429.50,422.50,427.00,2.00,380,175044640
108/05/06,1446548,420.00,420.00,399.00,400.00,27.00,1327,587492392
108/05/07,843138,410.00,412.00,403.00,405.00,5.00,752,342996080
108/05/08,674099,396.00,407.00,391.50,407.00,2.00,593,268908090
108/05/09,804987,403.00,404.00,392.00,395.00,12.00,718,320167339
108/05/10,1043124,395.50,403.00,382.00,384.50,10.50,953,407020612
108/05/13,729404,384.50,384.50,370.00,371.00,13.50,678,274060616
108/05/14,831210,360.00,381.00,353.50,378.00,7.00,779,309187900
108/05/15,500225,380.00,387.00,380.00,381.00,3.00,485,192141010
108/05/16,567022,381.00,382.50,369.00,369.00,12.00,555,212970162
108/05/17,711191,375.00,377.00,359.00,361.00,8.00,702,259139542
108/05/20,478586,361.50,364.00,350.50,351.00,10.00,486,169942444
108/05/21,743148,351.00,366.50,345.00,366.50,15.50,720,266756816
108/05/22,862099,367.50,381.00,366.00,366.00,0.50,787,321833432
108/05/23,526312,359.00,364.50,354.00,356.50,9.50,506,188213196
108/05/24,2037275,357.00,382.00,357.00,380.00,23.50,1875,765135134
108/05/27,598039,382.00,383.50,373.00,374.00,6.00,586,226035703
108/05/28,389410,375.50,378.50,373.50,378.50,4.50,377,146540620
108/05/29,718948,373.00,388.00,372.00,377.00,1.50,676,274187317
108/05/30,656962,378.00,383.50,375.00,380.00,3.00,621,249676022
108/05/31,604037,380.00,382.50,376.00,377.00,3.00,581,228679503
108/06/03,712066,375.00,375.00,364.00,366.50,10.50,685,262097552
108/06/04,575480,366.50,376.00,366.00,369.00,2.50,536,212792060
108/06/05,668101,379.00,382.00,374.00,374.00,5.00,635,252262178
108/06/06,393254,377.00,378.50,372.00,374.50,0.50,380,147475504
108/06/10,526185,380.00,382.00,377.00,382.00,7.50,487,199888540
108/06/11,1100381,387.50,395.00,386.50,386.50,4.50,1053,430059209
108/06/12,573372,390.00,393.00,384.00,385.50,1.00,535,222707964
108/06/13,320443,384.00,387.50,380.50,383.00,2.50,323,122881055
108/06/14,237889,384.00,385.50,380.50,381.50,1.50,221,90955487
108/06/17,158175,380.50,384.00,380.50,383.00,1.50,146,60484050
108/06/18,288318,385.00,386.50,383.00,384.00,1.00,249,110907404
108/06/19,560528,388.00,391.50,386.00,390.00,6.00,490,218320976
108/06/20,832668,392.00,401.50,392.00,397.00,7.00,735,330922364
108/06/21,1112132,402.50,413.50,402.00,404.50,7.50,799,452069592
108/06/24,746859,411.00,411.50,406.00,406.50,2.00,492,305386038
108/06/25,1002052,407.00,409.50,397.50,401.00,5.50,732,404248904
108/06/26,1443222,375.00,382.00,374.00,375.00,X,832,543834860
108/06/27,395294,379.50,380.50,375.00,375.00,,377,149075720
108/06/28,334565,375.50,377.00,370.00,370.00,5.00,350,124335115
108/07/01,704582,376.50,382.50,376.00,378.50,8.50,640,267270160
