鋐寶科技,	6674
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/11/28,4781592,31.95,39.95,31.30,39.00,X,2282,161195530
107/11/29,4259222,37.50,41.00,37.50,39.10,0.10,2316,165371172
107/11/30,3611160,39.00,42.80,38.55,42.80,3.70,1922,145283878
107/12/03,4077780,45.10,52.00,43.45,50.60,7.80,2432,184685087
107/12/04,2121492,47.80,49.95,45.90,46.00,4.60,1641,101469252
107/12/05,1024051,44.25,46.60,43.25,45.40,0.60,742,46138415
107/12/06,1130325,44.90,45.30,40.90,41.10,4.30,809,47918890
107/12/07,1683000,41.00,45.20,41.00,45.20,4.10,1013,74357500
107/12/10,1472200,42.20,42.90,41.10,41.55,3.65,943,61552760
107/12/11,819874,41.40,41.50,39.10,39.65,1.90,583,33193560
107/12/12,660034,40.00,41.65,40.00,41.15,1.50,467,27094311
107/12/13,1331540,41.10,44.90,39.50,44.50,3.35,962,56547829
107/12/14,3014765,45.15,48.85,44.70,47.05,2.55,2008,140767040
107/12/17,1092100,47.00,47.05,45.00,45.20,1.85,727,50168330
107/12/18,650100,44.00,46.25,42.10,43.30,1.90,509,28608400
107/12/19,451100,43.80,44.40,41.80,42.00,1.30,357,19256310
107/12/20,339750,42.20,42.20,40.80,41.30,0.70,261,14083936
107/12/21,358020,40.80,43.00,40.50,42.95,1.65,281,15052711
107/12/22,160000,41.70,42.30,41.50,41.60,1.35,144,6672500
107/12/24,310190,42.00,43.60,41.00,42.50,0.90,211,13165875
107/12/25,266030,41.20,42.00,41.00,41.20,1.30,197,10979795
107/12/26,298130,41.50,42.00,40.55,41.20,,237,12228225
107/12/27,712000,43.00,43.20,42.10,43.15,1.95,495,30430750
107/12/28,1664048,44.15,47.35,43.75,45.90,2.75,1171,75764908
108/01/02,627000,44.95,45.00,43.60,43.85,2.05,501,27718100
108/01/03,327643,43.40,44.50,43.30,43.30,0.55,255,14309613
108/01/04,325500,43.00,43.00,41.50,42.10,1.20,248,13669424
108/01/07,272150,43.00,43.20,42.20,42.20,0.10,215,11608087
108/01/08,216030,42.90,42.95,41.70,41.85,0.35,166,9068575
108/01/09,212000,42.00,42.90,41.80,42.00,0.15,164,8931550
108/01/10,326000,42.00,42.05,41.20,41.20,0.80,182,13533000
108/01/11,349000,41.50,41.70,40.00,40.25,0.95,250,14246800
108/01/14,109200,41.20,41.20,40.15,40.30,0.05,93,4414390
108/01/15,140200,40.70,40.70,40.15,40.50,0.20,99,5662920
108/01/16,250245,40.20,40.40,39.60,39.80,0.70,186,9988875
108/01/17,240000,40.10,40.35,39.00,39.05,0.75,183,9454150
108/01/18,240002,39.10,39.15,38.00,38.30,0.75,188,9194733
108/01/21,259000,38.90,38.90,37.05,37.30,1.00,206,9700850
108/01/22,457200,37.05,40.05,37.05,39.20,1.90,371,17915460
108/01/23,212000,39.00,39.00,37.30,38.30,0.90,170,8115950
108/01/28,146000,39.30,39.55,38.60,38.60,0.30,110,5704250
108/01/29,81000,38.75,38.85,38.05,38.20,0.40,68,3099000
108/01/30,114310,38.20,38.40,38.10,38.20,,68,4369311
108/02/11,56333,38.20,38.45,38.20,38.40,0.20,37,2155670
108/02/12,88000,38.45,38.95,38.10,38.10,0.30,75,3390800
108/02/13,107100,38.60,38.85,38.45,38.80,0.70,84,4142125
108/02/14,666500,38.40,41.80,38.20,41.65,2.85,502,27074750
108/02/15,734010,42.00,42.00,40.50,40.80,0.85,501,30370998
108/02/18,137010,41.00,41.00,40.00,40.15,0.65,114,5532098
108/02/19,93000,40.50,40.70,40.10,40.15,,80,3750750
108/02/20,164000,40.20,40.80,40.20,40.45,0.30,129,6618100
108/02/21,135000,40.45,40.45,39.90,40.00,0.45,101,5402250
108/02/22,246010,40.00,40.00,39.10,39.20,0.80,153,9679342
108/02/25,237435,39.40,40.55,39.40,40.55,1.35,201,9535017
108/02/26,128202,40.50,40.50,39.60,39.70,0.85,104,5106219
108/02/27,159000,39.45,39.45,38.50,38.90,0.80,116,6195300
108/03/04,197000,39.00,39.70,37.80,38.40,0.50,145,7543150
108/03/05,48000,38.10,38.45,38.10,38.30,0.10,41,1841700
108/03/06,78000,38.25,38.55,38.20,38.40,0.10,57,2986550
108/03/07,127000,38.55,38.55,37.30,37.40,1.00,104,4801300
108/03/08,57415,37.95,37.95,37.10,37.90,0.50,52,2156927
108/03/11,58000,37.80,38.20,37.50,37.80,0.10,44,2191250
108/03/12,71020,38.00,38.00,37.55,37.70,0.10,64,2678010
108/03/13,64000,37.30,37.60,37.30,37.50,0.20,45,2394400
108/03/14,61020,37.50,37.70,37.50,37.60,0.10,40,2293651
108/03/15,66600,38.00,38.00,37.55,37.65,0.05,61,2512009
108/03/18,39133,37.70,37.70,37.50,37.60,0.05,34,1470270
108/03/19,180000,37.60,38.80,37.60,38.60,1.00,122,6896050
108/03/20,84000,38.80,38.80,37.85,38.10,0.50,66,3206300
108/03/21,107167,37.90,38.00,37.65,37.80,0.30,75,4046229
108/03/22,111078,37.75,37.75,37.40,37.40,0.40,80,4167388
108/03/25,88000,37.00,37.00,36.10,36.30,1.10,73,3211950
108/03/26,40064,36.30,36.60,36.30,36.45,0.15,41,1459768
108/03/27,34215,36.50,36.70,36.45,36.45,,31,1250686
108/03/28,81128,36.30,36.40,35.30,35.60,0.85,71,2923626
108/03/29,81000,36.10,36.10,35.00,35.70,0.10,68,2857200
108/04/01,92000,35.90,37.50,35.90,35.90,0.20,74,3345300
108/04/02,42030,35.65,36.45,35.65,35.90,,26,1509927
108/04/03,84000,35.90,36.30,35.75,36.20,0.30,53,3020750
108/04/08,70200,36.20,36.60,36.20,36.60,0.40,56,2561000
108/04/09,67000,36.55,36.95,36.20,36.80,0.20,56,2445050
108/04/10,51100,36.80,36.80,36.10,36.55,0.25,37,1856495
108/04/11,89000,36.30,36.90,36.10,36.90,0.35,62,3244000
108/04/12,72000,36.30,37.00,36.20,36.85,0.05,56,2638100
108/04/15,423681,37.45,39.40,36.75,39.40,2.55,285,16104196
108/04/16,918230,39.70,41.10,39.40,40.50,1.10,670,37067203
108/04/17,298000,39.65,40.25,39.10,39.20,1.30,234,11762250
108/04/18,252000,39.05,39.05,37.60,37.70,1.50,163,9686300
108/04/19,93000,37.90,38.55,37.75,38.00,0.30,72,3538250
108/04/22,88029,38.00,38.40,37.90,38.00,,65,3350252
108/04/23,102180,38.50,38.65,37.50,37.50,0.50,79,3868291
108/04/24,34000,37.50,37.60,37.05,37.50,,29,1271550
108/04/25,68100,37.60,38.05,37.60,37.65,0.15,58,2583910
108/04/26,44000,37.65,37.65,37.05,37.25,0.40,39,1634200
108/04/29,78000,37.25,37.25,36.00,36.65,0.60,62,2844650
108/04/30,42000,36.20,36.50,36.15,36.45,0.20,26,1527150
108/05/02,55000,36.20,36.50,36.20,36.30,0.15,30,1993950
108/05/03,68000,36.50,37.70,36.50,37.10,0.80,51,2526000
108/05/06,71000,37.10,37.20,36.30,36.40,0.70,51,2612000
108/05/07,49000,36.40,36.60,36.35,36.35,0.05,27,1785100
108/05/08,89000,35.80,36.05,35.45,35.70,0.65,69,3169900
108/05/09,112000,35.50,35.50,34.05,34.10,1.60,84,3892000
108/05/10,56000,34.10,35.00,33.20,33.70,0.40,48,1911350
108/05/13,116053,32.75,33.45,31.40,31.40,2.30,77,3725864
108/05/14,83000,32.10,32.10,31.40,32.00,0.60,47,2645200
108/05/15,68010,32.00,32.50,31.80,32.05,0.05,43,2186122
108/05/16,33100,32.60,32.60,31.80,31.80,0.25,31,1064445
108/05/17,29000,31.90,31.90,30.60,31.40,0.40,27,906800
108/05/20,46000,30.15,31.85,30.15,30.50,0.90,39,1407150
108/05/21,74000,30.00,30.80,30.00,30.30,0.20,62,2236450
108/05/22,52000,29.40,30.80,29.40,30.00,0.30,38,1575200
108/05/23,13000,30.30,30.30,29.65,29.65,0.35,12,388500
108/05/24,45000,29.90,30.00,29.60,29.60,0.05,33,1341050
108/05/27,10010,29.70,29.70,29.50,29.60,,11,296445
108/05/28,29000,29.10,30.25,29.10,29.60,,22,866450
108/05/29,30000,29.60,29.60,29.35,29.40,0.20,24,883100
108/05/30,30000,29.95,29.95,29.40,29.45,0.05,27,890850
108/05/31,36000,29.50,30.10,29.50,30.00,0.55,29,1076950
