元大歐洲50,	00660
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,6000,24.47,24.47,24.38,24.45,0.18,5,146540
107/06/04,1000,24.75,24.75,24.75,24.75,0.30,1,24750
107/06/05,5000,24.75,24.75,24.75,24.75,,4,123750
107/06/06,70,--,--,--,--,,1,1732
107/06/07,2000,24.80,24.96,24.80,24.96,X,2,49760
107/06/08,5000,24.71,24.71,24.66,24.66,0.30,4,123370
107/06/11,3000,24.83,24.83,24.75,24.75,0.09,3,74410
107/06/12,2000,24.95,24.95,24.95,24.95,0.20,2,49900
107/06/13,2000,24.98,24.98,24.98,24.98,0.03,2,49960
107/06/14,288000,24.97,24.97,24.86,24.86,0.12,7,7171200
107/06/15,18000,25.26,25.27,25.24,25.25,0.39,11,454600
107/06/19,5000,24.88,24.88,24.83,24.83,0.42,5,124200
107/06/20,13000,24.69,24.75,24.63,24.66,0.17,8,320600
107/06/21,373000,24.61,24.67,24.60,24.67,0.01,13,9187080
107/06/22,399000,24.43,24.47,24.41,24.44,0.23,20,9747580
107/06/25,1000,24.56,24.56,24.56,24.56,0.12,1,24560
107/06/26,6000,24.25,24.25,24.21,24.22,0.34,6,145330
107/06/27,1000,24.26,24.26,24.26,24.26,0.04,1,24260
107/06/28,7082,24.26,24.30,24.26,24.30,0.04,7,172051
107/06/29,13000,24.32,24.32,24.30,24.32,0.02,4,316140
107/07/02,4000,24.32,24.32,24.25,24.25,0.07,4,97140
107/07/03,13000,24.25,24.34,24.23,24.23,0.02,4,315410
107/07/04,1000,24.40,24.40,24.40,24.40,0.17,1,24400
107/07/05,5000,24.56,24.56,24.45,24.45,0.05,4,122540
107/07/06,4080,24.81,24.81,24.74,24.74,0.29,5,101008
107/07/09,1000,24.74,24.74,24.74,24.74,,1,24740
107/07/10,7000,24.79,24.93,24.79,24.90,0.16,3,173780
107/07/11,7000,24.75,24.78,24.75,24.76,0.14,3,173330
107/07/12,8000,24.62,24.67,24.62,24.67,0.09,5,197160
107/07/13,1000,24.83,24.83,24.83,24.83,0.16,1,24830
107/07/16,4000,24.77,24.77,24.76,24.76,0.07,3,99060
107/07/17,2138,24.76,24.77,24.76,24.77,0.01,4,52946
107/07/18,2000,24.85,24.85,24.85,24.85,0.08,1,49700
107/07/19,5000,24.93,25.03,24.93,25.03,0.18,4,124780
107/07/20,1000,24.91,24.91,24.91,24.91,0.12,1,24910
107/07/23,3000,24.79,24.79,24.77,24.77,0.14,2,74330
107/07/24,7001,24.81,24.83,24.81,24.83,0.06,4,173814
107/07/25,18000,24.95,24.95,24.93,24.95,0.12,4,448950
107/07/26,11000,25.02,25.12,25.02,25.12,0.17,6,276120
107/07/27,10039,25.15,25.20,25.15,25.20,0.08,6,252622
107/07/30,10000,25.10,25.10,25.08,25.08,0.12,4,250820
107/07/31,2000,25.19,25.19,25.17,25.17,0.09,2,50360
107/08/01,13000,25.25,25.25,25.23,25.23,0.06,6,328090
107/08/02,3000,25.26,25.26,25.20,25.20,0.03,3,75720
107/08/03,8000,25.07,25.07,24.98,24.98,0.22,5,200080
107/08/06,12021,25.00,25.08,25.00,25.08,0.10,4,301327
107/08/07,1000,25.02,25.02,25.02,25.02,0.06,1,25020
107/08/08,1000,25.10,25.10,25.10,25.10,0.08,1,25100
107/08/09,4000,25.08,25.10,25.08,25.10,,3,100380
107/08/10,4000,25.09,25.09,25.02,25.02,0.08,4,100270
107/08/13,5000,24.57,24.57,24.48,24.50,0.52,5,122570
107/08/14,5000,24.46,24.51,24.40,24.51,0.01,4,122350
107/08/15,4000,24.52,24.52,24.50,24.50,0.01,4,98020
107/08/16,7000,24.09,24.27,24.09,24.23,0.27,7,169520
107/08/17,2000,24.26,24.26,24.23,24.23,,2,48490
107/08/20,4000,24.21,24.22,24.21,24.22,0.01,4,96870
107/08/21,3000,24.34,24.38,24.34,24.34,0.12,3,73060
107/08/22,1000,24.43,24.43,24.43,24.43,0.09,1,24430
107/08/23,4000,24.56,24.56,24.49,24.49,0.06,4,98100
107/08/24,3000,24.53,24.61,24.53,24.61,0.12,3,73750
107/08/27,3000,24.62,24.63,24.62,24.63,0.02,3,73880
107/08/28,2000,24.85,24.89,24.85,24.89,0.26,2,49740
107/08/29,4000,24.86,24.86,24.83,24.83,0.06,4,99380
107/08/30,5000,24.83,24.83,24.80,24.80,0.03,3,124060
107/08/31,8000,24.71,24.74,24.71,24.74,0.06,7,197860
107/09/03,5000,24.36,24.36,24.36,24.36,0.38,3,121800
107/09/04,4000,24.48,24.48,24.43,24.43,0.07,3,97870
107/09/05,5000,24.07,24.12,24.07,24.12,0.31,2,120500
107/09/06,4000,23.87,23.88,23.87,23.88,0.24,4,95500
107/09/07,4000,23.74,23.76,23.73,23.73,0.15,4,94970
107/09/10,76183,23.74,23.75,23.68,23.74,0.01,21,1807215
107/09/11,4000,23.86,23.86,23.86,23.86,0.12,3,95440
107/09/12,5000,23.86,23.86,23.80,23.80,0.06,4,119160
107/09/13,3000,23.88,23.88,23.84,23.84,0.04,3,71580
107/09/14,9000,23.89,23.98,23.89,23.98,0.14,3,215100
107/09/17,6016,23.98,23.98,23.95,23.96,0.02,5,144184
107/09/18,10000,23.92,24.00,23.92,24.00,0.04,6,239510
107/09/19,1000,24.20,24.20,24.20,24.20,0.20,1,24200
107/09/20,1000,24.19,24.19,24.19,24.19,0.01,1,24190
107/09/21,90000,24.43,24.46,24.43,24.46,0.27,13,2200880
107/09/25,11000,24.51,24.52,24.51,24.52,0.06,2,269710
107/09/26,1000,24.68,24.68,24.68,24.68,0.16,1,24680
107/09/27,1000,24.66,24.66,24.66,24.66,0.02,1,24660
107/09/28,11000,24.72,24.75,24.72,24.75,0.09,4,272120
107/10/01,3000,24.52,24.52,24.41,24.41,0.34,2,73340
107/10/02,108000,24.20,24.39,24.20,24.39,0.02,14,2630700
107/10/03,3000,24.46,24.46,24.46,24.46,0.07,2,73380
107/10/04,3000,24.44,24.44,24.34,24.34,0.12,3,73180
107/10/05,1000,24.27,24.27,24.27,24.27,0.07,1,24270
107/10/08,5000,24.10,24.11,24.10,24.10,0.17,4,120510
107/10/09,6000,23.67,23.85,23.67,23.85,0.25,5,142500
107/10/11,26000,23.04,23.04,22.70,22.77,1.08,16,596740
107/10/12,56000,23.15,23.18,23.15,23.18,0.41,5,1296540
107/10/15,4000,22.82,22.90,22.82,22.90,0.28,3,91440
107/10/16,2000,23.10,23.10,23.10,23.10,0.20,2,46200
107/10/17,4000,23.43,23.44,23.43,23.44,0.34,2,93750
107/10/18,0,--,--,--,--,,0,0
107/10/19,5000,23.03,23.18,23.03,23.07,X,5,115390
107/10/22,2000,22.92,22.92,22.92,22.92,0.15,2,45840
107/10/23,20000,22.84,22.85,22.70,22.70,0.22,9,455670
107/10/24,128000,22.50,22.63,22.50,22.62,0.08,13,2896370
107/10/25,239000,22.52,22.52,22.41,22.42,0.20,16,5361740
107/10/26,8000,22.53,22.55,22.47,22.47,0.05,4,180040
