日成-KY,	4807
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,473250,61.80,63.90,60.10,63.90,5.80,348,29617071
107/06/04,429516,65.00,69.90,64.60,68.00,4.10,314,28761824
107/06/05,198307,68.00,69.60,66.60,69.00,1.00,136,13519125
107/06/06,281877,70.80,72.40,70.80,71.40,2.40,204,20153445
107/06/07,391201,73.20,73.60,69.30,70.70,0.70,288,28124869
107/06/08,183010,72.40,72.40,69.60,70.70,,127,12938500
107/06/11,146554,70.90,70.90,68.30,69.80,0.90,115,10159765
107/06/12,111001,71.00,71.00,68.50,69.20,0.60,91,7658169
107/06/13,154003,69.20,69.20,66.50,67.60,1.60,104,10407801
107/06/14,114028,67.20,67.40,66.10,66.90,0.70,91,7601265
107/06/15,63037,66.90,67.10,65.70,66.90,,69,4187467
107/06/19,34034,66.70,66.70,66.10,66.60,0.30,36,2264357
107/06/20,73450,66.60,66.70,65.00,65.00,1.60,51,4816369
107/06/21,76512,67.50,67.50,65.60,65.80,0.80,49,5072030
107/06/22,48003,65.80,66.40,65.00,65.50,0.30,46,3144095
107/06/25,69001,65.70,66.20,65.10,65.90,0.40,31,4536766
107/06/26,54001,65.80,65.80,64.40,64.80,1.10,39,3507665
107/06/27,20016,64.50,64.50,64.20,64.40,0.40,23,1289031
107/06/28,27003,64.00,64.90,63.30,64.70,0.30,30,1724092
107/06/29,15000,63.70,65.00,63.70,64.30,0.40,15,965500
107/07/02,24001,64.40,64.50,63.70,64.30,,21,1540664
107/07/03,40000,61.10,63.00,61.10,62.30,2.00,27,2504800
107/07/04,23001,64.30,64.30,63.00,63.00,0.70,19,1454262
107/07/05,51010,62.00,64.00,61.00,62.30,0.70,40,3154617
107/07/06,15001,62.30,62.30,61.10,62.30,,16,926362
107/07/09,70169,61.80,63.70,61.70,62.70,0.40,45,4383863
107/07/10,51003,62.70,63.30,62.30,62.70,,28,3199389
107/07/11,60002,57.00,59.30,57.00,58.80,X,50,3481318
107/07/12,32002,57.70,58.80,57.70,57.90,0.90,32,1855116
107/07/13,41002,57.90,59.00,57.80,58.70,0.80,27,2386318
107/07/16,36007,58.30,58.60,58.00,58.20,0.50,40,2096806
107/07/17,25002,58.00,58.30,57.50,57.50,0.70,24,1445414
107/07/18,22050,57.60,58.00,57.50,58.00,0.50,22,1272924
107/07/19,41001,58.00,58.50,57.30,57.30,0.70,34,2362257
107/07/20,42001,57.20,57.50,56.60,57.00,0.30,31,2394357
107/07/23,55002,56.50,56.60,55.70,56.60,0.40,42,3093114
107/07/24,14000,57.00,57.00,56.70,57.00,0.40,13,796700
107/07/25,34000,57.00,59.40,56.80,58.10,1.10,28,1961800
107/07/26,11003,57.90,58.20,57.90,58.20,0.10,14,639374
107/07/27,29019,57.80,59.50,57.80,59.10,0.90,44,1712321
107/07/30,13001,59.10,59.60,59.00,59.50,0.40,11,769160
107/07/31,16001,59.50,59.90,59.50,59.50,,13,953859
107/08/01,36401,59.00,59.50,57.50,57.60,1.90,42,2121157
107/08/02,27004,57.60,57.90,57.00,57.00,0.60,25,1544828
107/08/03,15001,57.00,57.10,56.60,56.60,0.40,9,853556
107/08/06,12105,56.60,56.60,56.50,56.50,0.10,13,684920
107/08/07,4200,56.60,57.10,56.60,57.10,0.60,5,238620
107/08/08,28450,57.10,57.10,56.30,56.30,0.80,26,1609362
107/08/09,28022,56.20,57.30,56.20,57.30,1.00,29,1591260
107/08/10,6002,57.30,57.90,57.30,57.90,0.60,7,345714
107/08/13,81300,56.80,56.80,55.30,55.50,2.40,46,4517966
107/08/14,48101,55.20,55.20,54.00,54.30,1.20,30,2622354
107/08/15,58305,57.40,57.40,55.00,56.40,2.10,58,3260098
107/08/16,30000,56.90,57.30,56.20,56.20,0.20,24,1695000
107/08/17,30086,56.90,56.90,55.90,55.90,0.30,25,1688650
107/08/20,20001,55.00,56.10,55.00,56.00,0.10,17,1110555
107/08/21,15004,55.90,56.50,55.60,56.50,0.50,15,842324
107/08/22,8241,56.50,56.60,55.50,56.60,0.10,11,463596
107/08/23,17001,55.70,55.70,55.50,55.50,1.10,15,945756
107/08/24,16007,55.60,56.00,55.40,55.40,0.10,18,889185
107/08/27,38051,56.00,57.50,56.00,57.50,2.10,38,2163798
107/08/28,52001,57.00,58.80,56.80,58.50,1.00,33,2998657
107/08/29,16101,57.20,58.40,57.20,58.40,0.10,18,926548
107/08/30,18002,57.60,58.40,57.60,58.40,,19,1040916
107/08/31,10006,57.70,58.20,57.60,58.00,0.40,16,578048
