鳳凰            ,	5706
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,68680,43.00,43.10,42.70,43.10,0.10,57,2939306
104/01/06,93004,43.00,43.00,42.35,42.45,-0.65,60,3960720
104/01/07,72162,42.20,42.65,42.20,42.30,-0.15,47,3060502
104/01/08,72000,42.50,42.85,42.45,42.70,0.40,49,3067150
104/01/09,29000,42.70,42.70,42.60,42.65,-0.05,21,1236750
104/01/12,72100,42.20,42.50,42.00,42.50,-0.15,58,3043699
104/01/13,49191,42.15,42.50,42.15,42.25,-0.25,37,2078367
104/01/14,41000,42.25,42.25,42.00,42.05,-0.20,34,1725200
104/01/15,76400,42.05,42.05,41.80,41.90,-0.15,52,3203460
104/01/16,134300,41.75,41.75,41.00,41.30,-0.60,109,5547980
104/01/19,68840,42.00,42.00,41.05,41.10,-0.20,62,2862592
104/01/20,106000,41.10,41.30,41.00,41.15,0.05,70,4362550
104/01/21,79100,41.20,41.25,40.90,41.10,-0.05,55,3246410
104/01/22,39127,41.20,41.45,41.20,41.25,0.15,35,1614695
104/01/23,236379,41.25,41.85,41.25,41.70,0.45,141,9840153
104/01/26,148065,41.95,42.25,41.85,41.85,0.15,107,6221480
104/01/27,78250,41.90,41.95,41.60,41.85,,53,3267275
104/01/28,68600,41.80,41.80,41.60,41.60,-0.25,51,2858719
104/01/29,82382,41.60,41.60,41.10,41.25,-0.35,67,3398852
104/01/30,111000,41.25,41.35,41.00,41.25,,74,4556850
104/02/02,117000,41.50,41.80,41.35,41.55,0.30,89,4868650
104/02/03,55319,41.75,41.75,41.20,41.30,-0.25,48,2291224
104/02/04,76000,41.40,41.70,41.35,41.40,0.10,43,3155350
104/02/05,164100,41.40,41.60,40.80,40.90,-0.50,106,6735210
104/02/06,46850,40.95,41.50,40.95,41.15,0.25,41,1928900
104/02/09,60000,41.15,41.30,40.90,41.30,0.15,29,2463250
104/02/10,58162,41.30,41.30,40.80,41.00,-0.30,45,2386189
104/02/11,121000,41.00,41.20,40.75,40.95,-0.05,85,4949800
104/02/12,65550,41.20,41.50,41.00,41.20,0.25,49,2697350
104/02/13,158162,41.00,41.25,41.00,41.10,-0.10,99,6496908
104/02/24,223920,41.80,41.80,41.30,41.60,0.50,160,9307373
104/02/25,303970,41.80,42.30,41.65,42.25,0.65,195,12767331
104/02/26,252320,42.30,42.90,42.25,42.85,0.60,180,10765610
104/03/02,188767,42.85,43.10,42.25,42.50,-0.35,140,8041695
104/03/03,85067,42.60,42.60,42.35,42.35,-0.15,61,3609384
104/03/04,68148,42.35,42.35,42.10,42.10,-0.25,57,2875795
104/03/05,110318,42.10,42.35,42.00,42.00,-0.10,71,4644156
104/03/06,211000,42.00,42.90,42.00,42.75,0.75,126,8979900
104/03/09,208650,42.75,43.10,42.30,42.80,0.05,120,8910406
104/03/10,274200,43.60,43.60,42.80,43.10,0.30,169,11798000
104/03/11,181176,43.00,43.15,42.80,42.80,-0.30,124,7776582
104/03/12,274358,43.20,43.50,43.15,43.35,0.55,177,11899536
104/03/13,799745,43.55,45.35,43.55,44.80,1.45,479,35759386
104/03/16,682604,45.10,46.50,45.10,45.65,0.85,448,31308771
104/03/17,273100,46.00,46.05,45.20,45.30,-0.35,194,12406419
104/03/18,259000,45.30,45.95,45.00,45.45,0.15,162,11744600
104/03/19,218270,45.90,45.90,45.30,45.40,-0.05,160,9923850
104/03/20,318506,45.40,45.60,44.90,44.90,-0.50,193,14387470
104/03/23,328326,44.90,45.30,44.30,45.20,0.30,198,14690282
104/03/24,81123,45.20,45.25,45.00,45.00,-0.20,66,3658785
104/03/25,197157,45.00,45.50,44.60,44.65,-0.35,122,8886623
104/03/26,118151,44.50,45.00,44.30,44.80,0.15,103,5292018
104/03/27,166683,44.90,45.45,44.90,45.00,0.20,128,7519035
104/03/30,166170,45.00,45.35,45.00,45.05,0.05,119,7501166
104/03/31,100100,45.05,45.15,45.00,45.00,-0.05,79,4508200
104/04/01,82269,45.00,45.00,44.85,44.90,-0.10,51,3695135
104/04/02,132156,44.90,45.35,44.90,44.95,0.05,97,5949120
104/04/07,266398,44.95,45.75,44.95,45.50,0.55,156,12116839
104/04/08,1225703,45.50,48.65,45.50,48.30,2.80,802,58646360
104/04/09,516550,48.50,48.50,47.00,47.00,-1.30,407,24645596
104/04/10,197362,47.00,47.55,47.00,47.20,0.20,156,9340522
104/04/13,500522,47.20,48.50,47.20,47.40,0.20,282,23972090
104/04/14,729470,48.20,49.00,47.80,48.90,1.50,479,35274661
104/04/15,1946651,49.40,50.80,48.20,49.80,0.90,1065,96522673
104/04/16,545504,50.00,50.00,49.10,49.10,-0.70,441,27005718
104/04/17,571449,49.20,49.95,49.15,49.15,0.05,315,28271515
104/04/20,368911,48.90,49.15,48.25,48.30,-0.85,234,17938913
104/04/21,322055,48.20,48.70,46.60,47.70,-0.60,239,15336220
104/04/22,238808,46.80,48.20,46.80,47.75,0.05,204,11364980
104/04/23,304580,47.00,48.25,47.00,48.10,0.35,214,14605147
104/04/24,240100,48.40,48.75,47.30,47.55,-0.55,171,11505050
104/04/27,141602,47.20,48.10,47.20,47.75,0.20,107,6771123
104/04/28,216865,47.70,48.10,47.70,47.95,0.20,147,10385773
104/04/29,143300,48.20,48.30,47.45,47.75,-0.20,109,6837420
104/04/30,289171,47.75,48.60,47.75,47.90,0.15,191,13917396
104/05/04,146355,48.00,48.40,47.70,48.00,0.10,128,7037240
104/05/05,915741,48.00,50.40,48.00,49.75,1.75,599,45542114
104/05/06,1801483,49.70,51.50,49.50,50.50,0.75,1095,91200691
104/05/07,986202,50.50,51.20,49.20,49.40,-1.10,704,49509278
104/05/08,743190,50.00,50.70,49.75,50.00,0.60,406,37384838
104/05/11,371821,50.90,50.90,49.00,49.10,-0.90,285,18378804
104/05/12,225359,49.10,49.40,49.10,49.10,,203,11092592
104/05/13,348700,49.10,50.00,48.50,49.90,0.80,309,17204712
104/05/14,737130,49.90,51.50,49.90,50.00,0.10,487,37498300
104/05/15,574178,50.60,51.40,50.40,50.70,0.70,478,29250456
104/05/18,464960,51.00,51.30,50.10,50.50,-0.20,378,23637448
104/05/19,443875,51.50,51.50,50.40,50.70,0.20,396,22625041
104/05/20,932800,51.30,51.90,50.80,51.40,0.70,537,48015178
104/05/21,430209,51.30,51.30,49.80,50.80,-0.60,320,21831279
104/05/22,677891,50.80,50.80,49.00,50.40,-0.40,431,33681055
104/05/25,261110,50.40,50.40,49.10,49.80,-0.60,173,13024911
104/05/26,589071,49.70,51.20,49.70,50.20,0.40,382,29887257
104/05/27,348317,50.20,50.20,49.50,49.50,-0.70,242,17330177
104/05/28,262310,49.60,49.90,49.15,49.30,-0.20,171,12984904
104/05/29,629108,49.30,51.20,49.30,49.70,0.40,400,31630366
104/06/01,599103,50.00,50.50,48.85,48.95,-0.75,363,29574097
104/06/02,976420,48.70,48.70,46.90,47.00,-1.95,656,46409354
104/06/03,617100,46.80,47.70,46.20,47.40,0.40,447,29082230
104/06/04,427282,47.50,47.60,46.25,46.30,-1.10,345,19932872
104/06/05,218800,46.30,46.40,45.70,46.00,-0.30,182,10068888
104/06/08,316111,46.00,47.95,46.00,47.30,1.30,277,14889099
104/06/09,269106,47.50,47.90,46.10,46.20,-1.10,201,12668846
104/06/10,245000,46.20,47.60,46.20,47.60,1.40,182,11484349
104/06/11,160050,47.60,47.60,46.65,46.90,-0.70,119,7531017
104/06/12,110210,46.80,47.50,46.55,47.20,0.30,80,5186362
104/06/15,113500,47.00,47.90,47.00,47.55,0.35,79,5391800
104/06/16,109077,47.55,47.60,46.50,46.55,-1.00,94,5111671
104/06/17,74003,46.55,47.35,46.55,46.60,0.05,59,3462541
104/06/18,594807,47.50,49.50,47.00,49.10,2.50,396,28962760
104/06/22,507496,49.50,50.10,48.60,49.15,0.05,322,25065452
104/06/23,655302,49.35,51.00,49.20,49.75,0.60,372,32887327
104/06/24,243100,50.00,50.50,49.15,49.80,0.05,132,12106825
104/06/25,183482,49.80,50.00,49.10,49.50,-0.30,113,9068055
104/06/26,194001,49.50,49.95,49.20,49.20,-0.30,115,9599299
104/06/29,236250,49.00,49.80,47.20,47.85,-1.35,170,11420462
104/06/30,163355,49.00,49.00,48.20,48.90,1.05,131,7940802
104/07/01,152605,48.90,49.50,48.90,49.25,0.35,96,7523464
104/07/02,456277,49.70,51.00,49.10,50.50,1.25,317,22910104
104/07/03,255348,50.50,50.80,49.70,49.80,-0.70,174,12831243
104/07/06,161363,49.80,50.00,48.80,48.90,-0.90,115,7965040
104/07/07,68492,49.50,49.50,48.80,49.10,0.20,63,3359256
104/07/08,239080,49.50,49.50,46.80,47.70,-1.40,202,11447289
104/07/09,218120,47.50,47.50,45.55,47.00,-0.70,149,10157894
104/07/13,214090,47.00,47.50,46.60,46.75,-0.25,131,10064921
104/07/14,109102,47.00,47.25,46.30,46.35,-0.40,76,5111018
104/07/15,188798,46.70,46.95,45.80,45.90,-0.45,110,8709208
104/07/16,146005,46.00,46.20,45.70,45.85,-0.05,101,6698281
104/07/17,77465,46.30,46.40,45.85,46.00,0.15,65,3573692
104/07/20,97976,46.50,46.75,45.35,45.35,-0.65,80,4490065
104/07/21,140177,45.35,45.35,44.50,45.35,,119,6291775
104/07/22,61993,45.35,45.35,44.60,44.60,-0.75,60,2776736
104/07/23,137287,44.60,45.15,43.40,43.60,-1.00,107,6048328
104/07/24,178100,43.50,43.50,42.65,42.90,-0.70,95,7662478
104/07/27,373170,42.90,43.05,39.75,39.75,-3.15,254,15319931
104/07/28,310013,39.75,40.50,38.50,40.50,0.75,214,12350683
104/07/29,85209,41.00,41.00,40.30,40.30,-0.20,77,3449228
104/07/30,75190,40.60,40.90,40.50,40.60,0.30,69,3059343
104/07/31,55001,40.65,41.00,40.55,40.70,0.10,45,2240641
104/08/03,73261,40.75,41.15,39.75,40.15,-0.55,66,2956591
104/08/04,119022,40.20,40.95,39.10,40.00,-0.15,90,4776997
104/08/05,113850,40.60,40.60,39.80,40.05,0.05,83,4548852
104/08/06,138005,40.05,40.05,39.40,39.50,-0.55,87,5488465
104/08/07,115111,39.50,40.80,39.50,40.55,1.05,92,4613027
104/08/10,92008,40.55,40.55,39.75,40.30,-0.25,68,3677772
104/08/11,167601,40.00,40.30,39.50,39.70,-0.60,122,6671079
104/08/12,267404,40.30,40.30,38.00,38.35,-1.35,192,10338775
104/08/13,223201,38.35,39.90,38.35,39.90,1.55,189,8765450
104/08/14,146451,39.90,40.50,39.55,40.30,0.40,112,5853907
104/08/17,177131,41.00,41.00,40.00,40.50,0.20,147,7164771
104/08/18,174106,40.80,41.00,39.60,39.70,-0.80,156,7006460
104/08/19,345073,40.20,40.20,37.80,38.25,-1.45,224,13267496
104/08/20,115003,37.85,38.80,37.85,38.50,0.25,107,4412973
104/08/21,184738,38.50,38.50,37.40,37.55,-0.95,159,6987769
104/08/24,561350,37.00,37.00,33.80,34.20,-3.35,358,19288918
104/08/25,196787,33.90,35.30,33.40,35.00,0.80,150,6804786
104/08/26,340669,35.00,36.05,34.55,35.40,0.40,225,12095885
104/08/27,321433,33.10,35.05,33.10,34.70,X,275,11054631
104/08/28,308058,35.70,36.20,35.30,36.10,1.40,226,11021093
104/08/31,465978,37.10,39.20,36.40,38.50,2.40,363,17750448
104/09/01,218103,38.10,38.30,37.50,37.55,-0.95,150,8216214
104/09/02,186295,37.00,38.95,36.85,38.00,0.45,155,7099228
104/09/03,149050,38.50,38.50,37.90,38.00,,113,5673056
104/09/04,192912,37.80,37.95,37.05,37.10,-0.90,170,7225415
104/09/07,261400,36.85,38.50,36.00,38.05,0.95,158,9771330
104/09/08,97200,38.00,38.40,37.45,38.20,0.15,89,3677809
104/09/09,213312,38.60,38.90,38.00,38.45,0.25,181,8181123
104/09/10,156103,38.80,38.80,38.10,38.45,,122,6004117
104/09/11,319201,37.70,37.75,37.05,37.50,-0.95,245,11916178
104/09/14,74257,37.70,37.70,37.50,37.55,0.05,61,2791708
104/09/15,120783,37.55,37.70,37.15,37.30,-0.25,82,4518704
104/09/16,157003,37.40,37.50,37.20,37.20,-0.10,114,5859920
104/09/17,248077,37.60,38.40,37.55,37.70,0.50,163,9405926
104/09/18,228200,37.80,38.40,37.50,37.70,,166,8662000
104/09/21,152700,37.95,38.35,37.40,38.20,0.50,121,5775294
104/09/22,493255,38.80,40.55,38.50,39.30,1.10,343,19588120
104/09/23,332451,39.30,39.70,38.70,39.70,0.40,268,13056448
104/09/24,277100,39.70,40.20,38.60,39.00,-0.70,196,10937959
104/09/25,187260,39.15,39.70,38.75,38.95,-0.05,130,7345390
104/09/30,210300,38.55,39.00,37.80,38.00,-0.95,173,8030829
104/10/01,93115,38.60,38.95,38.20,38.90,0.90,131,3605662
104/10/02,56041,38.90,39.00,38.55,38.90,,71,2179037
104/10/05,118145,39.45,39.45,38.90,39.20,0.30,118,4629459
104/10/06,382824,39.65,40.85,39.45,39.50,0.30,238,15338648
104/10/07,589855,39.40,40.30,37.60,39.60,0.10,325,23123820
104/10/08,137034,39.60,39.80,38.90,39.20,-0.40,126,5394692
104/10/12,113541,39.30,39.80,39.20,39.50,0.30,94,4483581
104/10/13,105759,39.60,40.15,39.50,39.50,,90,4207376
104/10/14,144647,40.00,40.50,39.50,39.60,0.10,107,5777869
104/10/15,75240,39.95,40.05,39.55,39.60,,61,2986022
104/10/16,29610,39.80,39.85,39.60,39.75,0.15,38,1177143
104/10/19,54477,39.85,40.05,39.75,39.75,,52,2172180
104/10/20,30689,39.80,40.00,39.70,39.80,0.05,41,1223049
104/10/21,47701,39.80,40.00,39.70,39.80,,42,1899368
104/10/22,84992,39.80,40.00,39.80,39.90,0.10,64,3394024
104/10/23,142481,40.00,40.45,39.65,40.15,0.25,110,5709734
104/10/26,112783,40.45,40.50,40.10,40.10,-0.05,77,4536380
104/10/27,114081,40.10,40.10,39.70,39.90,-0.20,78,4547976
104/10/28,53750,39.90,39.95,39.70,39.70,-0.20,52,2138700
104/10/29,68850,40.05,40.05,39.55,39.70,,61,2734785
104/10/30,195954,39.70,40.25,38.70,40.10,0.40,145,7812710
104/11/02,73857,40.10,40.30,39.85,40.10,,64,2962763
104/11/03,85461,40.20,40.25,39.70,40.00,-0.10,80,3425040
104/11/04,141551,40.10,40.50,40.10,40.35,0.35,104,5715251
104/11/05,147156,40.50,41.00,40.50,40.55,0.20,120,5988380
104/11/06,308243,40.70,41.30,40.60,40.70,0.15,194,12592440
104/11/09,182958,41.30,41.30,39.90,40.60,-0.10,157,7374139
104/11/10,112750,40.00,40.45,39.90,40.15,-0.45,82,4520722
104/11/11,92202,39.90,40.00,39.50,39.60,-0.55,70,3657309
104/11/12,71049,39.70,39.85,39.30,39.35,-0.25,64,2807484
104/11/13,90910,39.65,40.50,39.65,39.95,0.60,83,3627896
104/11/16,131241,37.60,39.45,37.60,39.00,-0.95,109,5060296
104/11/17,72200,38.60,39.95,38.60,39.25,0.25,67,2842087
104/11/18,55624,39.30,39.95,39.15,39.30,0.05,55,2188297
104/11/19,75746,39.30,39.60,39.05,39.25,-0.05,82,2973365
104/11/20,72970,39.95,39.95,39.20,39.50,0.25,60,2888768
104/11/23,46150,39.50,40.00,39.50,39.65,0.15,49,1838690
104/11/24,61503,39.65,39.80,39.05,39.05,-0.60,61,2429297
104/11/25,112455,38.90,38.90,38.05,38.30,-0.75,92,4311095
104/11/26,67084,38.90,38.90,38.30,38.40,0.10,66,2578672
104/11/27,28850,38.10,38.50,38.05,38.30,-0.10,36,1105801
104/11/30,43771,38.30,38.45,38.00,38.00,-0.30,49,1670048
104/12/01,48610,38.10,38.40,38.10,38.20,0.20,54,1859708
104/12/02,57150,38.45,39.00,38.30,38.55,0.35,57,2212434
104/12/03,94607,38.60,38.60,38.30,38.35,-0.20,64,3641123
104/12/04,44100,38.45,38.50,38.30,38.35,,51,1693986
104/12/07,75750,38.90,38.95,38.40,38.40,0.05,69,2928593
104/12/08,56054,38.90,39.00,38.20,38.85,0.45,52,2172028
104/12/09,40575,38.85,38.85,38.40,38.40,-0.45,41,1565027
104/12/10,71237,38.40,38.80,38.10,38.10,-0.30,66,2724169
104/12/11,38795,38.20,38.20,37.80,37.80,-0.30,47,1475210
104/12/14,66820,37.80,38.00,37.10,37.40,-0.40,69,2498760
104/12/15,45255,37.50,38.30,37.50,37.50,0.10,42,1704808
104/12/16,45235,37.80,38.10,37.60,37.70,0.20,48,1711829
104/12/17,26700,38.45,38.50,38.00,38.30,0.60,28,1020713
104/12/18,32002,38.20,38.30,38.00,38.00,-0.30,33,1219582
104/12/21,95260,38.40,39.45,38.40,38.90,0.90,101,3694977
104/12/22,121150,39.00,39.25,38.80,38.80,-0.10,98,4723100
104/12/23,90105,38.90,39.60,38.80,38.90,0.10,82,3529076
104/12/24,69506,39.00,39.00,38.00,38.80,-0.10,73,2689539
104/12/25,66419,38.85,39.15,38.55,39.15,0.35,78,2587241
104/12/28,60200,38.80,39.15,38.80,39.00,-0.15,75,2344375
104/12/29,30071,39.10,39.10,38.70,39.00,,35,1170301
104/12/30,63300,39.20,39.20,38.50,39.00,,55,2457982
104/12/31,58904,39.00,39.00,38.25,38.40,-0.60,59,2273378
105/01/04,47015,38.40,38.40,38.10,38.10,-0.30,65,1794870
105/01/05,82049,38.10,38.40,37.70,38.40,0.30,69,3117514
105/01/06,65003,38.40,38.65,37.95,38.20,-0.20,41,2494614
105/01/07,121777,38.00,38.00,37.00,37.45,-0.75,113,4544665
105/01/08,82250,37.10,37.85,37.10,37.80,0.35,67,3075461
105/01/11,48500,37.80,37.80,37.50,37.50,-0.30,48,1822672
105/01/12,70024,37.85,37.90,37.00,37.10,-0.40,80,2619738
105/01/13,19400,37.25,37.70,37.10,37.20,0.10,22,724018
105/01/14,35750,37.00,37.00,36.00,36.70,-0.50,44,1312150
105/01/15,55450,36.80,37.00,36.30,36.30,-0.40,65,2031300
105/01/18,74514,36.30,36.80,36.00,36.80,0.50,59,2700561
105/01/19,19172,36.80,37.05,36.30,36.70,-0.10,32,702913
105/01/20,68257,36.70,36.70,35.95,36.00,-0.70,67,2472838
105/01/21,64006,35.90,36.60,35.90,35.90,-0.10,59,2308066
105/01/22,139988,36.05,36.55,35.45,35.50,-0.40,101,5002424
105/01/25,45300,35.50,35.85,35.50,35.80,0.30,58,1618300
105/01/26,40215,35.50,35.70,35.35,35.60,-0.20,40,1426654
105/01/27,30970,35.80,35.85,35.55,35.55,-0.05,49,1106462
105/01/28,43250,35.50,35.90,35.50,35.80,0.25,51,1542486
105/01/29,53977,36.00,36.20,35.80,36.05,0.25,69,1944154
105/01/30,69544,36.25,37.10,36.25,36.90,0.85,58,2567412
105/02/01,54600,36.90,37.10,36.50,37.00,0.10,54,2009350
105/02/02,45665,37.00,37.35,36.85,37.30,0.30,38,1693453
105/02/03,68102,37.20,37.30,36.65,37.10,-0.20,64,2520282
105/02/15,70959,36.80,37.10,36.50,37.00,-0.10,95,2611483
105/02/16,71106,37.35,38.45,37.30,37.30,0.30,75,2663897
105/02/17,20400,37.30,37.65,37.20,37.40,0.10,58,762244
105/02/18,79750,37.40,37.70,37.00,37.45,0.05,70,2983996
105/02/19,63106,37.70,37.70,37.10,37.60,0.15,54,2356117
105/02/22,54878,37.50,37.85,37.20,37.60,,60,2057304
105/02/23,52202,37.60,37.80,37.10,37.35,-0.25,40,1959013
105/02/24,53200,37.00,37.40,37.00,37.40,0.05,55,1981194
105/02/25,44375,37.15,37.70,37.15,37.50,0.10,64,1662584
105/02/26,42157,37.50,37.60,37.10,37.50,,75,1578820
105/03/01,56467,37.50,37.65,37.40,37.65,0.15,70,2115897
105/03/02,200222,37.80,38.90,37.65,38.85,1.20,181,7696187
105/03/03,103503,38.85,38.90,38.45,38.75,-0.10,99,4005829
105/03/04,65835,38.75,38.80,38.40,38.60,-0.15,86,2542010
105/03/07,113002,38.60,39.10,38.50,38.85,0.25,114,4377549
105/03/08,50223,38.85,39.00,38.70,38.95,0.10,67,1950723
105/03/09,55350,38.70,38.90,38.60,38.60,-0.35,86,2139186
105/03/10,159561,38.85,39.45,38.65,39.20,0.60,140,6231686
105/03/11,338962,39.20,40.15,39.20,39.85,0.65,246,13503979
105/03/14,167220,39.90,40.70,39.90,40.20,0.35,139,6724400
105/03/15,131176,40.20,40.20,39.35,39.35,-0.85,123,5214062
105/03/16,170522,38.75,40.50,38.70,40.10,0.75,116,6766412
105/03/17,84500,40.10,40.30,39.50,39.80,-0.30,84,3367284
105/03/18,255211,39.90,41.10,39.70,40.90,1.10,186,10351190
105/03/21,294706,42.50,42.50,41.55,41.65,0.75,251,12361728
105/03/22,462718,42.00,42.80,40.10,42.35,0.70,282,19482420
105/03/23,143629,42.10,42.10,41.20,41.20,-1.15,141,5992293
105/03/24,112617,41.65,42.00,40.80,41.10,-0.10,96,4645797
105/03/25,148650,41.70,41.70,41.10,41.20,0.10,140,6126850
105/03/28,111632,41.20,41.50,40.90,41.00,-0.20,251,4603487
105/03/29,93385,41.00,41.10,40.30,40.35,-0.65,122,3793299
105/03/30,336055,40.50,42.50,40.30,41.30,0.95,190,14000456
105/03/31,85402,41.95,41.95,41.05,41.55,0.25,103,3542853
105/04/01,61550,41.50,41.55,41.10,41.55,,70,2545408
105/04/06,422122,41.95,42.75,41.20,42.10,0.55,251,17835524
105/04/07,76893,42.10,42.25,41.95,42.00,-0.10,165,3233464
105/04/08,74530,41.95,42.20,41.60,41.80,-0.20,95,3115704
105/04/11,353138,40.90,42.25,40.35,41.80,,290,14672983
105/04/12,39973,41.75,41.75,41.30,41.35,-0.45,120,1656401
105/04/13,246247,41.35,41.80,40.90,41.40,0.05,227,10217746
105/04/14,107442,41.00,41.80,41.00,41.50,0.10,78,4451600
105/04/15,127300,41.50,41.60,41.10,41.55,0.05,60,5282488
105/04/18,42528,41.00,41.50,41.00,41.20,-0.35,63,1747298
105/04/19,101450,41.20,42.10,41.20,41.70,0.50,70,4245118
105/04/20,117794,41.70,42.05,41.15,41.35,-0.35,76,4928531
105/04/21,136063,41.10,42.00,41.10,41.55,0.20,70,5692354
105/04/22,90952,41.20,41.30,40.50,40.50,-1.05,85,3720605
105/04/25,189488,40.10,41.70,40.00,41.50,1.00,116,7804400
105/04/26,390008,41.25,42.10,41.00,41.00,-0.50,104,16267674
105/04/27,157050,41.15,41.35,40.80,40.90,-0.10,52,6441280
105/04/28,70251,40.90,41.20,40.65,41.05,0.15,57,2867213
