國泰RMB短期報酬,	00732
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,71000,39.94,39.94,39.79,39.79,0.15,4,2827140
107/06/04,354000,39.71,39.82,39.71,39.82,0.03,11,14073070
107/06/05,3000,39.85,39.85,39.76,39.76,0.06,2,119370
107/06/06,203000,39.86,39.92,39.81,39.85,0.09,8,8084130
107/06/07,7000,39.85,39.89,39.84,39.89,0.04,4,278980
107/06/08,1000,39.93,39.93,39.93,39.93,0.04,1,39930
107/06/11,2000,39.82,39.94,39.82,39.94,0.01,2,79760
107/06/12,8000,40.00,40.00,39.84,39.90,0.04,7,319280
107/06/13,58000,39.93,40.02,39.93,40.02,0.12,5,2316120
107/06/14,464000,39.95,40.04,39.94,40.04,0.02,15,18540170
107/06/15,357000,40.01,40.06,39.98,40.06,0.02,13,14276250
107/06/19,6000,39.99,40.03,39.99,40.03,0.03,2,239980
107/06/20,1000,39.99,39.99,39.99,39.99,0.04,1,39990
107/06/21,1000,39.97,39.97,39.97,39.97,0.02,1,39970
107/06/22,7502000,40.07,40.07,39.94,39.94,0.03,3,299930010
107/06/25,23000,40.04,40.04,39.91,39.91,0.03,4,918170
107/06/26,21000,39.87,39.87,39.74,39.80,0.11,7,834950
107/06/27,152000,39.66,39.67,39.57,39.67,0.13,11,6027940
107/06/28,3000,39.67,39.67,39.56,39.56,0.11,3,118790
107/06/29,103000,39.53,39.55,39.49,39.49,0.07,9,4072130
107/07/02,12501000,39.63,39.63,39.63,39.63,0.14,2,494914630
107/07/03,11000,39.38,39.38,39.33,39.36,0.27,8,432950
107/07/04,4000,39.44,39.67,39.44,39.67,0.31,4,158390
107/07/05,2000,39.63,39.70,39.63,39.70,0.03,2,79330
107/07/06,2000,39.68,39.68,39.56,39.56,0.14,2,79240
107/07/09,1000,39.56,39.56,39.56,39.56,,1,39560
107/07/10,4000,39.56,39.67,39.56,39.67,0.11,4,158470
107/07/11,201000,39.65,39.65,39.25,39.36,0.31,8,7896640
107/07/12,4000,39.51,39.51,39.33,39.44,0.08,4,157640
107/07/13,2000,39.41,39.46,39.41,39.46,0.02,2,78870
107/07/16,11000,39.30,39.32,39.30,39.32,0.14,2,432320
107/07/17,12000,39.34,39.40,39.34,39.40,0.08,3,472340
107/07/18,5000,39.24,39.29,39.18,39.25,0.15,5,196210
107/07/19,13000,39.26,39.29,39.17,39.17,0.08,10,509530
107/07/20,35000,38.95,39.03,38.93,39.00,0.17,7,1363110
107/07/23,3000,38.94,38.94,38.94,38.94,0.06,3,116820
107/07/24,0,--,--,--,--,,0,0
107/07/25,2000,38.90,38.90,38.89,38.89,X,2,77790
107/07/26,7000,38.87,39.01,38.87,39.01,0.12,5,272230
107/07/27,2000,38.95,38.95,38.85,38.85,0.16,2,77800
107/07/30,3000,38.74,38.81,38.73,38.73,0.12,3,116280
107/07/31,4000,38.80,38.80,38.72,38.75,0.02,4,155070
107/08/01,1000,38.81,38.81,38.81,38.81,0.06,1,38810
107/08/02,1000,38.81,38.81,38.81,38.81,,1,38810
107/08/03,3000,38.55,38.55,38.55,38.55,0.26,3,115650
107/08/06,2000,38.75,38.81,38.75,38.81,0.26,2,77560
107/08/07,32000,38.72,38.75,38.56,38.75,0.06,5,1234270
107/08/08,1000,38.92,38.92,38.92,38.92,0.17,1,38920
107/08/09,1000,38.89,38.89,38.89,38.89,0.03,1,38890
107/08/10,8000,38.83,38.83,38.68,38.68,0.21,8,309660
107/08/13,4000,38.61,38.76,38.61,38.76,0.08,2,154590
107/08/14,1000,38.74,38.74,38.74,38.74,0.02,1,38740
107/08/15,150000,38.60,38.60,38.60,38.60,0.14,7,5790000
107/08/16,198000,38.52,38.64,38.46,38.64,0.04,26,7637480
107/08/17,31000,38.57,38.67,38.57,38.63,0.01,4,1197510
107/08/20,2000,38.67,38.83,38.67,38.83,0.20,2,77500
107/08/21,4000,38.71,38.89,38.71,38.89,0.06,2,155020
107/08/22,2000,38.76,38.82,38.76,38.82,0.07,2,77580
107/08/23,1000,38.86,38.86,38.86,38.86,0.04,1,38860
107/08/24,1000,38.75,38.75,38.75,38.75,0.11,1,38750
107/08/27,3000,38.92,39.09,38.92,39.09,0.34,3,116930
107/08/28,2000,39.00,39.05,39.00,39.05,0.04,2,78050
107/08/29,1000,38.92,38.92,38.92,38.92,0.13,1,38920
107/08/30,2000,38.87,38.87,38.83,38.83,0.09,2,77700
107/08/31,3000,38.78,38.78,38.78,38.78,0.05,1,116340
107/09/03,1000,38.97,38.97,38.97,38.97,0.19,1,38970
107/09/04,373000,38.97,38.98,38.92,38.92,0.05,12,14522210
107/09/05,152000,38.87,38.90,38.86,38.87,0.05,6,5907770
107/09/06,1000,39.03,39.03,39.03,39.03,0.16,1,39030
107/09/07,1000,39.01,39.01,39.01,39.01,0.02,1,39010
107/09/10,5000,38.92,38.92,38.75,38.87,0.14,4,194040
107/09/11,1000,38.96,38.96,38.96,38.96,0.09,1,38960
107/09/12,1000,38.70,38.70,38.70,38.70,0.26,1,38700
107/09/13,6000,38.83,38.98,38.83,38.94,0.24,4,233360
107/09/14,1000,38.95,38.95,38.95,38.95,0.01,1,38950
107/09/17,0,--,--,--,--,,0,0
107/09/18,1000,38.91,38.91,38.91,38.91,X,1,38910
107/09/19,1000,38.91,38.91,38.91,38.91,,1,38910
107/09/20,1000,38.88,38.88,38.88,38.88,0.03,1,38880
107/09/21,1000,38.91,38.91,38.91,38.91,0.03,1,38910
