易華電,	6552
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,357000,53.30,55.40,53.10,54.90,1.60,267,19410100
107/06/04,1476568,55.70,60.30,55.70,60.30,5.40,902,87538849
107/06/05,3031550,61.50,64.70,60.60,61.20,0.90,1930,191170629
107/06/06,823000,61.40,62.50,60.10,61.30,0.10,522,50347300
107/06/07,682100,61.90,62.00,59.50,59.60,1.70,465,41359060
107/06/08,561000,61.40,61.90,59.00,60.50,0.90,385,33959900
107/06/11,2377500,61.40,65.10,61.30,63.60,3.10,1516,151616500
107/06/12,838000,63.00,65.10,62.20,63.00,0.60,542,53471200
107/06/13,655500,63.60,65.10,62.30,62.50,0.50,419,41729200
107/06/14,332100,62.60,63.40,62.00,62.00,0.50,203,20697800
107/06/15,521100,62.00,62.50,59.80,59.80,2.20,344,31746179
107/06/19,499102,59.50,59.50,57.70,58.50,1.30,305,29111826
107/06/20,525000,58.10,58.50,56.80,57.10,1.40,346,30071000
107/06/21,283204,57.20,59.30,57.20,59.20,2.10,171,16586036
107/06/22,181500,58.60,58.70,57.60,58.00,1.20,125,10571450
107/06/25,664131,58.80,62.10,58.80,61.00,3.00,431,40353091
107/06/26,967119,61.00,62.70,60.40,60.60,0.40,613,59501846
107/06/27,892075,61.20,63.20,61.20,62.20,1.60,537,55660957
107/06/28,971000,62.20,64.10,62.00,62.20,,590,61300600
107/06/29,343100,62.10,63.70,61.90,61.90,0.30,246,21454990
107/07/02,333000,62.00,62.60,60.30,60.70,1.20,235,20404600
107/07/03,384131,60.90,61.70,58.40,58.70,2.00,262,22960837
107/07/04,101000,59.00,60.10,58.60,58.90,0.20,76,5984300
107/07/05,148000,59.80,59.90,58.40,58.40,0.50,114,8729500
107/07/06,283000,58.50,59.10,56.80,57.80,0.60,188,16329500
107/07/09,155500,58.20,60.50,57.80,60.00,2.20,125,9228000
107/07/10,199000,60.70,61.50,59.40,59.50,0.50,150,12001900
107/07/11,130000,59.50,60.30,59.10,60.00,0.50,113,7801300
107/07/12,385000,60.10,62.70,59.90,60.90,0.90,283,23635600
107/07/13,130000,61.00,61.40,60.30,60.70,0.20,100,7889500
107/07/16,53000,60.20,61.10,60.20,60.50,0.20,42,3218200
107/07/17,1983600,61.00,65.40,60.70,62.80,2.30,1386,126012838
107/07/18,3692366,63.50,67.40,63.00,66.50,3.70,2693,242838457
107/07/19,1580248,66.50,67.60,65.20,66.40,0.10,1141,104638565
107/07/20,2137000,66.40,68.10,61.00,61.80,4.60,1540,138109500
107/07/23,811300,62.40,62.40,59.50,60.00,1.80,578,48895080
107/07/24,303300,59.60,62.00,59.60,60.90,0.90,230,18539350
107/07/25,188000,62.00,62.00,60.60,61.00,0.10,131,11482300
107/07/26,684000,61.40,64.30,60.40,64.00,3.00,408,43120700
107/07/27,1143000,65.00,66.20,63.00,63.50,0.50,723,73831700
107/07/30,1341000,64.70,65.60,63.00,63.00,0.50,725,86427600
107/07/31,843001,64.50,65.40,63.80,65.10,2.10,555,54578865
107/08/01,532000,64.90,65.90,64.60,64.70,0.40,358,34592700
107/08/02,560000,65.00,65.00,63.60,63.70,1.00,293,35786000
107/08/03,572000,63.80,65.30,63.60,65.00,1.30,368,36731300
107/08/06,369000,65.40,65.40,64.40,64.40,0.60,269,23978200
