申豐,	6582
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,25200,53.30,53.90,53.00,53.90,0.30,23,1348900
107/06/04,87200,54.00,55.10,54.00,54.40,0.50,53,4762260
107/06/05,48100,55.00,55.00,54.10,54.10,0.30,34,2616340
107/06/06,43000,54.10,55.20,54.10,54.30,0.20,36,2344500
107/06/07,20000,55.00,55.00,54.10,54.10,0.20,18,1090500
107/06/08,103005,54.00,54.00,53.00,53.20,0.90,76,5486075
107/06/11,77100,53.20,53.50,52.60,52.70,0.50,57,4070020
107/06/12,103181,52.50,53.30,52.00,52.90,0.20,75,5412347
107/06/13,64070,52.90,53.90,52.80,52.80,0.10,55,3417338
107/06/14,13000,52.90,52.90,52.50,52.90,0.10,11,684800
107/06/15,76002,52.50,52.80,52.40,52.80,0.10,21,3986108
107/06/19,17250,52.40,52.80,52.30,52.40,0.40,17,905400
107/06/20,32000,52.30,52.40,52.10,52.20,0.20,28,1674100
107/06/21,60000,52.50,52.60,52.00,52.20,,39,3131000
107/06/22,39000,52.10,52.30,52.00,52.10,0.10,23,2032100
107/06/25,66000,52.10,52.60,51.80,51.90,0.20,38,3437100
107/06/26,21000,51.90,52.20,51.70,51.70,0.20,20,1089200
107/06/27,59000,52.10,52.10,51.60,51.70,,22,3062600
107/06/28,23000,51.70,52.50,51.50,52.10,0.40,22,1197400
107/06/29,7000,52.10,52.40,52.10,52.30,0.20,6,365800
107/07/02,27003,52.40,53.00,52.40,52.60,0.30,21,1422862
107/07/03,19000,52.30,52.40,52.20,52.20,0.40,15,994600
107/07/04,31000,52.10,52.10,51.70,51.70,0.50,18,1606400
107/07/05,41000,51.70,52.00,51.00,51.00,0.70,29,2105000
107/07/06,23000,51.10,51.70,50.50,51.50,0.50,20,1174400
107/07/09,6003,51.60,51.90,51.50,51.50,,8,309962
107/07/10,10000,51.80,52.00,51.50,51.50,,10,517500
107/07/11,31080,51.50,51.50,51.00,51.20,0.30,24,1590360
107/07/12,20004,51.20,51.70,51.20,51.70,0.50,17,1025510
107/07/13,10000,51.70,52.10,51.70,52.00,0.30,10,520000
107/07/16,97392,52.40,54.80,52.40,54.40,2.40,87,5217979
107/07/17,39256,54.40,54.70,54.00,54.40,,30,2136803
107/07/18,26000,53.50,54.30,53.50,54.20,0.20,21,1399600
107/07/19,46000,54.30,54.30,53.80,53.80,0.40,28,2489800
107/07/20,15010,53.80,54.30,53.20,53.30,0.50,16,805234
107/07/23,28055,53.70,53.90,53.30,53.30,,19,1503014
107/07/24,32000,53.70,54.00,53.70,53.80,0.50,18,1722900
107/07/25,61000,53.80,53.90,53.50,53.90,0.10,14,3274600
107/07/26,35010,54.00,54.00,53.70,53.90,,26,1886141
107/07/27,54188,54.10,54.30,53.90,53.90,,36,2925546
107/07/30,107020,54.20,54.90,54.20,54.50,0.60,88,5835782
107/07/31,1266000,51.20,51.70,51.20,51.20,X,76,64837900
107/08/01,64000,51.40,52.60,51.20,52.50,1.30,45,3332000
107/08/02,34137,52.00,52.00,51.30,51.30,1.20,23,1772424
107/08/03,65500,52.20,52.20,50.70,50.80,0.50,54,3343800
107/08/06,79000,50.90,51.00,50.40,50.50,0.30,46,3994600
107/08/07,108000,50.40,50.40,49.85,50.10,0.40,81,5405500
107/08/08,88010,50.70,51.20,50.10,50.20,0.10,64,4446315
107/08/09,17000,50.60,50.80,50.40,50.50,0.30,17,860500
107/08/10,31000,50.30,51.30,50.30,50.60,0.10,27,1576000
107/08/13,61002,50.60,50.60,49.60,49.70,0.90,39,3039350
107/08/14,4000,49.70,49.85,49.70,49.85,0.15,4,199050
107/08/15,12000,49.85,49.90,49.75,49.90,0.05,11,597950
107/08/16,22100,49.75,49.75,49.30,49.30,0.60,17,1095550
107/08/17,18250,50.30,50.30,49.50,49.50,0.20,11,908650
107/08/20,11000,49.50,50.40,49.50,50.20,0.70,11,551000
107/08/21,10000,50.50,50.60,50.20,50.40,0.20,10,504200
107/08/22,5000,50.40,50.50,50.00,50.00,0.40,5,251100
107/08/23,5000,50.10,50.10,50.10,50.10,0.10,5,250500
107/08/24,5000,50.40,50.40,50.00,50.10,,5,250600
107/08/27,5120,50.00,50.10,50.00,50.10,,6,256124
107/08/28,24000,50.30,50.30,49.50,49.65,0.45,21,1194950
107/08/29,23000,49.95,50.00,49.70,49.70,0.05,19,1147500
107/08/30,47000,50.00,51.60,50.00,51.10,1.40,46,2392700
107/08/31,66000,51.60,51.60,50.60,51.30,0.20,33,3373000
107/09/03,22000,51.30,51.30,50.20,50.40,0.90,22,1113800
107/09/04,185200,50.90,53.80,50.90,53.60,3.20,154,9768140
107/09/05,140029,53.60,53.90,53.00,53.90,0.30,83,7489963
107/09/06,73200,53.90,54.60,53.00,54.30,0.40,66,3940660
107/09/07,89060,54.00,54.60,51.70,52.70,1.60,77,4702992
107/09/10,342108,56.00,56.80,54.20,54.20,1.50,239,18976906
