旺宏            ,	2337
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,14951081,6.93,7.08,6.85,7.06,0.13,3729,104545777
104/01/06,13288224,6.99,7.02,6.90,6.93,-0.13,2736,92316119
104/01/07,7349506,6.93,6.98,6.93,6.95,0.02,1988,51116236
104/01/08,14520359,7.00,7.01,6.90,6.90,-0.05,3071,100832439
104/01/09,9785480,7.00,7.00,6.85,6.86,-0.04,2765,67637836
104/01/12,8235170,6.84,6.85,6.74,6.75,-0.11,2328,55761500
104/01/13,4311409,6.75,6.83,6.75,6.78,0.03,2506,29242197
104/01/14,7146064,6.76,6.78,6.71,6.74,-0.04,2303,48087544
104/01/15,14334032,6.78,6.94,6.75,6.85,0.11,2975,98366070
104/01/16,7453529,6.85,6.86,6.73,6.73,-0.12,1815,50505762
104/01/19,5950603,6.78,6.80,6.65,6.66,-0.07,1374,39906400
104/01/20,4395315,6.68,6.73,6.68,6.69,0.03,1333,29458549
104/01/21,36191497,6.85,7.08,6.81,7.02,0.33,6576,252972359
104/01/22,13104327,7.03,7.05,6.95,6.97,-0.05,2598,91474948
104/01/23,10827055,6.99,7.02,6.90,6.91,-0.06,2216,75211422
104/01/26,6883083,6.90,6.93,6.82,6.87,-0.04,1862,47199840
104/01/27,8295235,6.90,6.99,6.89,6.90,0.03,2066,57555866
104/01/28,31653882,7.00,7.12,6.93,7.00,0.10,5798,222615357
104/01/29,9767851,7.00,7.01,6.88,6.93,-0.07,2325,67740495
104/01/30,18823461,6.90,6.90,6.73,6.90,-0.03,3526,127919726
104/02/02,4607815,6.88,6.88,6.79,6.79,-0.11,1242,31393003
104/02/03,4482934,6.79,6.85,6.79,6.79,,1501,30529222
104/02/04,4976492,6.83,6.85,6.76,6.77,-0.02,1348,33790201
104/02/05,3493988,6.80,6.81,6.75,6.79,0.02,848,23634843
104/02/06,4563576,6.79,6.85,6.75,6.84,0.05,1070,30981333
104/02/09,4976726,6.84,6.85,6.76,6.76,-0.08,1355,33780101
104/02/10,6548187,6.85,6.86,6.80,6.81,0.05,1937,44720866
104/02/11,4138084,6.86,6.86,6.79,6.79,-0.02,1454,28220923
104/02/12,3187581,6.81,6.84,6.77,6.80,0.01,1201,21675939
104/02/13,4519555,6.80,6.84,6.77,6.80,,1305,30769167
104/02/24,6565887,6.90,6.92,6.82,6.84,0.04,1676,45078399
104/02/25,4406446,6.85,6.88,6.80,6.81,-0.03,1270,30082601
