第一銅          ,	2009
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,137000,10.00,10.00,9.87,9.98,-0.07,68,1360230
104/01/06,115869,9.92,9.95,9.86,9.92,-0.06,61,1144952
104/01/07,61000,9.92,9.97,9.92,9.97,0.05,19,606440
104/01/08,88046,9.99,10.05,9.97,10.05,0.08,29,880530
104/01/09,54300,10.05,10.05,9.97,10.00,-0.05,28,542868
104/01/12,65159,9.92,10.00,9.91,9.97,-0.03,28,646818
104/01/13,92930,9.97,9.97,9.90,9.97,,25,925953
104/01/14,36153,9.97,10.00,9.95,9.95,-0.02,31,360043
104/01/15,84828,9.92,9.97,9.92,9.95,,38,843246
104/01/16,60536,9.95,9.95,9.90,9.95,,50,600405
104/01/19,58203,9.90,9.91,9.88,9.88,-0.07,37,575701
104/01/20,61678,9.88,9.95,9.88,9.94,0.06,39,611851
104/01/21,123052,9.94,9.94,9.80,9.94,,58,1214086
104/01/22,112413,9.94,10.00,9.92,9.94,,54,1118516
104/01/23,136958,9.92,9.92,9.87,9.89,-0.05,49,1356544
104/01/26,57051,9.87,9.89,9.86,9.86,-0.03,26,562750
104/01/27,55453,9.83,9.90,9.83,9.88,0.02,27,546719
104/01/28,119981,9.88,9.88,9.84,9.84,-0.04,39,1182911
104/01/29,74698,9.85,9.90,9.84,9.84,,40,735981
104/01/30,231319,9.83,9.84,9.78,9.78,-0.06,83,2271087
104/02/02,65005,9.81,9.85,9.78,9.78,,21,636808
104/02/03,129994,9.78,9.80,9.71,9.80,0.02,57,1268419
104/02/04,123560,9.93,9.93,9.80,9.81,0.01,41,1216388
104/02/05,26600,9.81,9.81,9.76,9.77,-0.04,18,260439
104/02/06,31593,9.77,9.79,9.75,9.75,-0.02,17,308049
104/02/09,58836,9.72,9.73,9.72,9.72,-0.03,32,572075
104/02/10,105629,9.75,9.88,9.73,9.88,0.16,62,1035844
104/02/11,34418,9.76,9.83,9.76,9.78,-0.10,25,336667
104/02/12,35800,9.89,9.89,9.75,9.75,-0.03,25,350856
104/02/13,72868,9.75,9.85,9.75,9.85,0.10,34,714950
104/02/24,61055,9.87,9.92,9.75,9.80,-0.05,24,599589
104/02/25,50277,9.80,9.90,9.76,9.88,0.08,28,493774
104/02/26,46054,9.80,9.86,9.80,9.81,-0.07,17,452065
104/03/02,44044,9.82,9.82,9.79,9.80,-0.01,18,431607
104/03/03,81334,9.80,9.80,9.73,9.76,-0.04,30,794609
104/03/04,87057,9.71,9.77,9.71,9.77,0.01,31,846730
104/03/05,25930,9.75,9.80,9.72,9.79,0.02,16,253048
104/03/06,21271,9.79,9.79,9.74,9.78,-0.01,16,207713
104/03/09,89010,9.78,9.80,9.75,9.80,0.02,30,870057
104/03/10,46551,9.80,9.86,9.77,9.77,-0.03,26,455930
104/03/11,93015,9.75,9.80,9.71,9.75,-0.02,47,906205
104/03/12,70272,9.73,9.74,9.70,9.72,-0.03,43,682188
104/03/13,58252,9.84,9.84,9.70,9.70,-0.02,27,565473
104/03/16,44705,9.70,9.82,9.70,9.70,,19,434786
104/03/17,93592,9.70,9.73,9.65,9.73,0.03,48,904699
104/03/18,166796,9.70,9.92,9.65,9.66,-0.07,62,1626687
104/03/19,84983,9.72,9.78,9.65,9.77,0.11,52,825942
104/03/20,39967,9.70,9.76,9.70,9.72,-0.05,19,388580
104/03/23,119798,9.72,9.80,9.72,9.73,0.01,41,1168129
104/03/24,14047,9.73,9.78,9.71,9.71,-0.02,13,136664
104/03/25,74565,9.72,9.74,9.70,9.74,0.03,23,724389
104/03/26,170816,9.75,9.80,9.70,9.78,0.04,79,1665914
104/03/27,113472,9.78,9.85,9.76,9.79,0.01,67,1111386
104/03/30,124100,9.82,9.85,9.80,9.83,0.04,55,1218938
104/03/31,172654,9.88,9.92,9.83,9.83,,55,1707338
104/04/01,106440,9.81,9.87,9.81,9.87,0.04,33,1045438
104/04/02,180394,9.82,10.00,9.82,9.94,0.07,73,1793958
104/04/07,292439,9.90,10.05,9.90,9.99,0.05,83,2921983
104/04/08,345760,10.00,10.05,9.99,10.00,0.01,105,3457302
104/04/09,88648,10.10,10.10,10.00,10.00,,33,888970
104/04/10,118783,10.00,10.05,10.00,10.00,,44,1188482
104/04/13,107860,10.05,10.10,9.97,10.05,0.05,44,1078870
104/04/14,129511,10.05,10.05,9.98,10.00,-0.05,39,1295127
104/04/15,107774,10.00,10.05,9.91,9.91,-0.09,57,1072656
104/04/16,67042,9.96,9.96,9.91,9.92,0.01,45,665762
104/04/17,156006,9.92,10.05,9.91,10.00,0.08,79,1552737
104/04/20,128580,9.98,10.05,9.92,10.00,,54,1283971
104/04/21,59106,9.99,10.05,9.91,9.99,-0.01,31,588108
104/04/22,58390,9.99,9.99,9.92,9.93,-0.06,19,579602
104/04/23,86123,9.92,9.99,9.92,9.99,0.06,74,858812
104/04/24,134334,9.99,10.00,9.92,9.98,-0.01,111,1338079
104/04/27,186384,9.99,10.00,9.96,9.99,0.01,110,1860870
104/04/28,208549,9.99,10.05,9.96,10.00,0.01,102,2083786
104/04/29,273294,10.00,10.10,10.00,10.00,,163,2739503
104/04/30,179994,10.10,10.10,10.00,10.05,0.05,134,1808340
104/05/04,242538,10.05,10.15,10.05,10.15,0.10,92,2456433
104/05/05,92727,10.15,10.15,10.00,10.15,,57,935190
104/05/06,120474,10.00,10.20,10.00,10.20,0.05,90,1220236
104/05/07,170666,10.25,10.25,10.05,10.05,-0.15,90,1730542
104/05/08,154131,10.05,10.20,10.00,10.20,0.15,63,1558323
104/05/11,176614,10.20,10.20,10.05,10.10,-0.10,96,1790020
104/05/12,96596,10.00,10.15,10.00,10.05,-0.05,61,974739
104/05/13,94320,10.05,10.05,10.00,10.00,-0.05,39,944995
104/05/14,77923,9.98,10.05,9.97,10.00,,31,778726
104/05/15,158859,9.98,9.98,9.85,9.86,-0.14,70,1573727
104/05/18,161593,9.84,9.84,9.75,9.75,-0.11,48,1579655
104/05/19,101267,9.75,9.79,9.68,9.69,-0.06,60,983185
104/05/20,168709,9.66,9.71,9.59,9.59,-0.10,81,1621725
104/05/21,116606,9.55,9.55,9.44,9.46,-0.13,67,1104134
104/05/22,68435,9.46,9.49,9.42,9.49,0.03,55,646198
104/05/25,112919,9.37,9.40,9.37,9.38,-0.11,76,1059146
104/05/26,87651,9.38,9.38,9.21,9.31,-0.07,40,813588
104/05/27,132950,9.31,9.37,9.27,9.29,-0.02,51,1238843
104/05/28,503499,9.30,9.30,9.18,9.23,-0.06,76,4639180
104/05/29,86582,9.20,9.58,9.20,9.48,0.25,52,812192
104/06/01,25998,9.30,9.40,9.30,9.40,-0.08,23,242860
104/06/02,63617,9.40,9.50,9.30,9.50,0.10,30,594898
104/06/03,88074,9.31,9.33,9.25,9.25,-0.25,45,818800
104/06/04,148304,9.25,9.47,9.20,9.22,-0.03,77,1377206
104/06/05,271653,9.24,9.24,9.01,9.06,-0.16,113,2462837
104/06/08,146292,9.06,9.06,8.86,8.86,-0.20,75,1306979
104/06/09,83781,8.89,8.98,8.81,8.86,,44,745030
104/06/10,85740,8.84,9.26,8.83,9.15,0.29,43,772963
104/06/11,81434,8.83,9.18,8.83,9.18,0.03,66,728037
104/06/12,65000,9.01,9.23,8.92,9.23,0.05,49,587420
104/06/15,29000,9.10,9.20,9.06,9.20,-0.03,23,264810
104/06/16,173291,9.06,9.13,8.82,9.13,-0.07,93,1546928
104/06/17,94010,9.13,9.13,8.90,8.90,-0.23,81,840399
104/06/18,118700,8.91,9.01,8.86,8.88,-0.02,69,1057949
104/06/22,83319,8.82,8.95,8.82,8.91,0.03,31,737659
104/06/23,31010,8.95,8.99,8.93,8.93,0.02,16,277410
104/06/24,36086,8.93,8.94,8.86,8.86,-0.07,31,321496
104/06/25,43191,8.97,8.97,8.90,8.95,0.09,18,385099
104/06/26,39265,8.95,8.95,8.88,8.88,-0.07,26,349222
104/06/29,64000,8.81,8.89,8.57,8.57,-0.31,38,562340
104/06/30,52010,8.58,8.70,8.58,8.70,0.13,19,451356
104/07/01,22499,8.80,8.80,8.79,8.79,0.09,8,197906
104/07/02,73100,8.80,8.80,8.65,8.68,-0.11,43,634767
104/07/03,66119,8.77,8.77,8.61,8.61,-0.07,67,571093
104/07/06,73000,8.61,8.61,8.58,8.59,-0.02,23,627430
104/07/07,226203,8.60,8.85,8.53,8.78,0.19,90,1958355
104/07/08,87000,8.61,8.77,8.60,8.66,-0.12,41,756390
104/07/09,34001,8.72,8.72,8.66,8.66,,27,295208
104/07/13,48296,8.67,8.70,8.67,8.69,0.03,22,419105
104/07/14,88000,8.69,8.76,8.64,8.64,-0.05,57,764630
104/07/15,49512,8.64,8.69,8.63,8.63,-0.01,42,427345
104/07/16,39670,8.64,8.69,8.63,8.69,0.06,20,342605
104/07/17,109356,8.70,8.74,8.53,8.59,-0.10,54,938759
104/07/20,213540,8.56,8.59,8.46,8.46,-0.13,90,1820321
104/07/21,156207,8.10,8.13,7.92,7.92,X,64,1257271
104/07/22,66831,7.92,7.96,7.86,7.87,-0.05,34,527731
104/07/23,151000,7.81,7.87,7.70,7.87,,61,1177200
104/07/24,36000,7.90,7.95,7.88,7.88,0.01,18,284110
104/07/27,89232,7.88,7.88,7.52,7.87,-0.01,43,692409
104/07/28,72516,7.85,7.90,7.80,7.87,,49,568193
104/07/29,36599,7.80,7.80,7.71,7.80,-0.07,18,284901
104/07/30,110876,7.53,7.79,7.52,7.79,-0.01,50,843925
104/07/31,42000,7.74,7.74,7.62,7.62,-0.17,28,321240
104/08/03,43000,7.57,7.62,7.51,7.62,,26,324660
104/08/04,93010,7.51,7.70,7.49,7.57,-0.05,43,701246
104/08/05,119930,7.51,7.55,7.33,7.50,-0.07,35,890207
104/08/06,88736,7.50,7.58,7.41,7.41,-0.09,28,660276
104/08/07,22010,7.37,7.48,7.37,7.42,0.01,16,163833
104/08/10,10000,7.49,7.49,7.38,7.49,0.07,8,74700
104/08/11,90014,7.54,7.54,7.32,7.34,-0.15,58,668733
104/08/12,57071,7.35,7.43,7.31,7.34,,22,418178
104/08/13,44235,7.33,7.41,7.28,7.33,-0.01,28,323465
104/08/14,85020,7.33,7.33,7.20,7.30,-0.03,30,614455
104/08/17,106154,7.24,7.29,7.19,7.29,-0.01,37,765198
104/08/18,37766,7.19,7.19,7.09,7.19,-0.10,28,269258
104/08/19,228125,7.02,7.02,6.53,6.70,-0.49,112,1541630
104/08/20,180000,6.66,6.66,6.51,6.62,-0.08,59,1184000
104/08/21,195738,6.60,6.60,6.23,6.23,-0.39,87,1244765
104/08/24,366203,6.10,6.10,5.61,5.61,-0.62,214,2082596
104/08/25,183021,5.49,5.79,5.49,5.74,0.13,80,1037776
104/08/26,168000,5.56,6.31,5.56,6.28,0.54,68,1009290
104/08/27,95003,6.06,6.30,6.06,6.11,-0.17,74,585798
104/08/28,150749,6.18,6.47,6.10,6.40,0.29,68,940807
104/08/31,45987,6.38,6.38,6.21,6.28,-0.12,31,288117
104/09/01,61015,6.28,6.34,6.27,6.34,0.06,25,383774
104/09/02,175600,6.32,6.48,6.21,6.48,0.14,42,1104827
104/09/03,116315,6.31,6.47,6.28,6.43,-0.05,49,746404
104/09/04,50490,6.45,6.45,6.38,6.43,,25,324075
104/09/07,123380,6.36,6.46,6.23,6.46,0.03,29,786004
104/09/08,41893,6.46,6.46,6.36,6.45,-0.01,25,269894
