F-台南          ,	5906
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,27000,6.79,6.79,6.64,6.69,,14,179790
104/01/06,25548,6.66,6.66,6.55,6.55,-0.14,16,168745
104/01/07,25018,6.55,6.58,6.53,6.53,-0.02,14,163997
104/01/08,67000,6.54,6.55,6.48,6.48,-0.05,26,437690
104/01/09,26000,6.50,6.50,6.49,6.50,0.02,11,168900
104/01/12,17000,6.50,6.50,6.49,6.49,-0.01,10,110470
104/01/13,54000,6.49,6.67,6.49,6.65,0.16,15,351120
104/01/14,22000,6.67,6.67,6.51,6.53,-0.12,13,143820
104/01/15,10000,6.50,6.50,6.50,6.50,-0.03,6,65000
104/01/16,46533,6.48,6.62,6.38,6.38,-0.12,27,300737
104/01/19,4000,6.38,6.40,6.38,6.40,0.02,3,25560
104/01/20,29055,6.54,6.54,6.40,6.53,0.13,18,186627
104/01/21,9000,6.40,6.60,6.40,6.60,0.07,8,58860
104/01/22,29018,6.69,6.69,6.49,6.55,-0.05,12,191426
104/01/23,34085,6.50,6.61,6.47,6.55,,11,221726
104/01/26,7000,6.50,6.50,6.50,6.50,-0.05,4,45500
104/01/27,13000,6.50,6.50,6.50,6.50,,9,84500
104/01/28,26000,6.42,6.50,6.42,6.46,-0.04,12,167930
104/01/29,7070,6.48,6.50,6.48,6.50,0.04,7,45939
104/01/30,5000,6.50,6.50,6.50,6.50,,2,32500
104/02/02,46000,6.50,6.50,6.25,6.26,-0.24,17,293860
104/02/03,12000,6.30,6.46,6.30,6.46,0.20,6,75760
104/02/04,47000,6.30,6.31,6.28,6.30,-0.16,16,295850
104/02/05,40018,6.30,6.39,6.30,6.39,0.09,15,254743
104/02/06,3002,6.26,6.27,6.26,6.27,-0.12,3,18812
104/02/09,5000,6.25,6.25,6.23,6.23,-0.04,2,31210
104/02/10,33018,6.29,6.49,6.29,6.48,0.25,16,211845
104/02/11,11145,6.48,6.48,6.30,6.32,-0.16,7,70604
104/02/12,3000,6.32,6.35,6.32,6.32,,3,18990
104/02/13,5000,6.32,6.32,6.32,6.32,,4,31600
104/02/24,11000,6.32,6.38,6.32,6.38,0.06,5,69700
104/02/25,10000,6.38,6.38,6.38,6.38,,1,63800
104/02/26,30000,6.26,6.32,6.22,6.30,-0.08,10,187830
104/03/02,13202,6.30,6.30,6.23,6.23,-0.07,10,82431
104/03/03,81072,6.23,6.23,6.08,6.08,-0.15,31,496472
104/03/04,116049,6.06,6.08,6.01,6.06,-0.02,30,701729
104/03/05,215000,6.01,6.08,5.98,6.08,0.02,42,1291070
104/03/06,57000,6.08,6.20,6.05,6.20,0.12,14,350830
104/03/09,1100,6.20,6.20,6.20,6.20,,2,6826
104/03/10,4000,6.20,6.20,6.11,6.11,-0.09,4,24710
104/03/11,297000,6.01,6.37,6.01,6.37,0.26,40,1806850
104/03/12,65000,6.34,6.36,6.25,6.36,-0.01,18,409490
