大飲            ,	1213
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,64000,21.15,21.30,21.05,21.25,,40,1353300
104/01/06,70000,21.10,21.15,21.00,21.10,-0.15,44,1475600
104/01/07,58025,21.00,21.10,20.90,21.10,,35,1219532
104/01/08,69201,21.10,21.15,21.00,21.15,0.05,41,1456891
104/01/09,41000,21.10,21.20,20.95,21.20,0.05,26,863350
104/01/12,51001,21.10,21.25,21.00,21.20,,27,1072671
104/01/13,52000,21.15,21.20,21.00,21.10,-0.10,20,1095600
104/01/14,56000,21.10,21.20,21.00,21.15,0.05,22,1180800
104/01/15,26000,20.50,21.20,20.50,21.15,,19,545000
104/01/16,35004,21.15,21.15,20.90,21.15,,21,735334
104/01/19,101004,21.05,21.10,20.80,21.10,-0.05,25,2116334
104/01/20,78000,21.10,21.10,20.70,20.85,-0.25,31,1622600
104/01/21,27420,20.85,21.10,20.85,21.00,0.15,20,573028
104/01/22,76026,21.05,21.05,20.70,20.95,-0.05,35,1583399
104/01/23,41807,21.00,21.10,20.85,20.95,,27,873181
104/01/26,34005,20.90,21.00,20.90,20.95,,24,712305
104/01/27,44006,20.95,21.00,20.95,21.00,0.05,25,924026
104/01/28,33053,21.00,21.15,21.00,21.10,0.10,33,695363
104/01/29,16004,21.05,21.10,21.00,21.10,,18,337434
104/01/30,29001,21.10,21.20,21.00,21.10,,19,611221
104/02/02,23509,21.10,21.20,21.00,21.20,0.10,28,495905
104/02/03,14003,21.15,21.20,21.05,21.20,,12,296013
104/02/04,28000,21.15,21.30,21.05,21.20,,18,592750
104/02/05,31000,21.00,21.30,21.00,21.15,-0.05,22,653550
104/02/06,14006,21.10,21.15,21.00,21.10,-0.05,14,295576
104/02/09,28000,21.25,21.35,21.00,21.15,0.05,19,590800
104/02/10,46001,21.10,21.15,20.60,21.15,,35,965221
104/02/11,29351,21.00,21.10,20.90,21.05,-0.10,28,616309
104/02/12,24400,21.00,21.10,20.90,21.00,-0.05,29,511999
104/02/13,30005,21.00,21.05,20.90,21.00,,22,629555
104/02/24,33690,20.90,21.00,20.90,20.95,-0.05,27,706249
104/02/25,42004,21.00,21.00,20.85,21.00,0.05,28,880534
104/02/26,24000,20.95,21.00,20.90,20.95,-0.05,18,502500
104/03/02,58010,20.80,21.00,20.80,20.95,,46,1214660
104/03/03,151440,20.90,22.00,20.90,21.70,0.75,105,3226856
104/03/04,67014,21.90,21.90,21.50,21.60,-0.10,55,1447394
104/03/05,74000,21.60,21.75,21.60,21.70,0.10,49,1600700
104/03/06,64001,21.70,21.80,21.60,21.75,0.05,43,1389723
104/03/09,61025,21.70,21.70,21.60,21.70,-0.05,47,1320883
104/03/10,60217,21.65,21.80,21.50,21.65,-0.05,39,1303835
104/03/11,96084,21.65,21.80,21.60,21.70,0.05,55,2079374
104/03/12,51027,21.75,22.00,21.75,21.80,0.10,38,1115433
104/03/13,72061,21.80,21.80,21.65,21.80,,47,1566669
104/03/16,60006,21.75,21.90,21.70,21.85,0.05,43,1308626
104/03/17,32004,21.80,21.90,21.70,21.80,-0.05,26,697534
104/03/18,139008,21.80,22.00,21.80,22.00,0.20,76,3042176
104/03/19,213002,21.90,22.70,21.90,22.10,0.10,121,4742694
104/03/20,128006,22.30,22.40,22.15,22.35,0.25,75,2852433
104/03/23,98010,22.35,22.50,22.20,22.35,,57,2191820
104/03/24,60006,22.25,22.50,22.10,22.30,-0.05,44,1333232
104/03/25,67037,22.30,22.35,22.05,22.30,,34,1486470
104/03/26,37320,22.00,22.30,22.00,22.20,-0.10,27,827571
104/03/27,60003,22.20,22.30,22.10,22.20,,33,1330616
104/03/30,181012,22.25,22.30,21.60,22.10,-0.10,75,3965714
104/03/31,118240,21.90,22.05,21.60,21.90,-0.20,67,2576477
104/04/01,53001,21.90,22.05,21.60,21.90,,32,1155971
104/04/02,82002,21.70,21.90,21.70,21.90,,42,1785892
104/04/07,60008,21.90,22.00,21.75,21.80,-0.10,31,1308968
104/04/08,251359,22.05,23.00,22.05,22.30,0.50,156,5651866
104/04/09,172000,22.30,22.45,21.95,22.30,,69,3798000
104/04/10,56035,22.30,22.35,22.00,22.30,,34,1245475
104/04/13,47003,22.30,22.75,22.10,22.35,0.05,29,1046566
104/04/14,40632,22.10,22.40,22.10,22.30,-0.05,21,901869
104/04/15,43001,22.15,22.30,22.10,22.30,,26,953772
104/04/16,90002,22.15,22.45,22.15,22.30,,42,2004994
104/04/17,90001,22.25,22.40,22.15,22.30,,39,2000122
104/04/20,98003,22.30,22.35,22.05,22.25,-0.05,37,2174816
104/04/21,33006,22.30,22.70,22.20,22.30,0.05,21,735682
104/04/22,23001,22.10,22.30,22.10,22.25,-0.05,18,509222
104/04/23,56712,22.15,22.40,22.15,22.40,0.15,34,1261206
104/04/24,71853,22.20,22.35,22.10,22.15,-0.25,36,1592666
104/04/27,72762,22.10,22.60,22.05,22.05,-0.10,41,1610835
104/04/28,49002,22.05,22.10,21.90,22.05,,33,1078842
104/04/29,33500,22.00,22.45,22.00,22.20,0.15,31,742049
104/04/30,37241,22.20,22.25,22.05,22.15,-0.05,26,824302
104/05/04,35002,22.15,22.20,22.10,22.20,0.05,23,776094
104/05/05,43000,22.20,22.30,22.05,22.10,-0.10,22,951950
104/05/06,49002,22.00,22.15,21.90,22.10,,27,1078094
104/05/07,75253,22.10,22.10,21.50,21.95,-0.15,44,1641565
104/05/08,30000,21.70,21.95,21.65,21.95,,16,653350
104/05/11,55054,21.95,22.45,21.70,22.00,0.05,40,1208077
104/05/12,26004,22.00,22.00,21.85,22.00,,27,569788
104/05/13,28001,22.00,22.00,21.85,22.00,,16,615072
104/05/14,37001,22.10,22.10,21.80,22.00,,25,809722
104/05/15,36008,21.90,21.95,21.75,21.95,-0.05,31,786226
104/05/18,38006,21.70,22.00,21.70,21.80,-0.15,37,828427
104/05/19,67462,22.00,22.00,21.60,21.70,-0.10,65,1465115
104/05/20,46001,21.60,21.80,21.50,21.65,-0.05,26,995321
104/05/21,75253,21.45,21.80,21.40,21.70,0.05,44,1627614
104/05/22,29000,21.65,21.65,21.55,21.55,-0.15,21,626350
104/05/25,51635,21.65,21.65,21.45,21.65,0.10,34,1112802
