華孚            ,	6235
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,40550,6.19,6.19,6.10,6.12,0.04,30,247853
104/01/06,170525,6.06,6.06,5.80,5.83,-0.29,90,996125
104/01/07,98514,5.83,5.95,5.83,5.85,0.02,53,581469
104/01/08,214298,6.22,6.22,5.80,5.90,0.05,79,1257341
104/01/09,120575,6.00,6.00,5.90,5.92,0.02,53,719597
104/01/12,66806,5.92,5.98,5.90,5.95,0.03,33,395781
104/01/13,63663,5.92,6.08,5.92,6.00,0.05,40,381300
104/01/14,244515,6.19,6.21,6.07,6.15,0.15,108,1505084
104/01/15,74520,6.15,6.15,6.01,6.08,-0.07,41,449900
104/01/16,105052,6.20,6.20,6.02,6.08,,59,641271
104/01/19,63010,6.08,6.12,6.02,6.08,,36,381170
104/01/20,46002,6.07,6.19,6.07,6.16,0.08,19,281382
104/01/21,111565,6.16,6.16,5.95,6.07,-0.09,59,671640
104/01/22,31664,6.10,6.10,6.02,6.08,0.01,25,191704
104/01/23,89781,6.08,6.08,5.95,6.01,-0.07,59,538342
104/01/26,31516,5.90,6.01,5.90,6.00,-0.01,20,188176
104/01/27,97100,6.00,6.13,5.98,6.00,,41,587680
104/01/28,129015,6.10,6.10,5.90,5.97,-0.03,62,766604
104/01/29,96663,6.05,6.05,5.90,5.94,-0.03,50,572585
104/01/30,151839,6.00,6.00,5.85,5.85,-0.09,53,900759
104/02/02,75001,5.98,5.98,5.79,5.79,-0.06,37,435955
104/02/03,118002,5.80,5.80,5.75,5.78,-0.01,44,680520
104/02/04,55515,5.89,5.89,5.74,5.76,-0.02,30,320061
104/02/05,38504,5.76,5.80,5.76,5.76,,15,222380
104/02/06,386668,5.82,6.16,5.76,6.01,0.25,176,2336638
104/02/09,620500,6.16,6.25,6.04,6.16,0.15,209,3830044
104/02/10,199499,6.16,6.25,6.10,6.11,-0.05,89,1230012
104/02/11,298215,6.10,6.30,6.10,6.25,0.14,160,1861244
104/02/12,316505,6.25,6.32,6.11,6.11,-0.14,89,1958308
104/02/13,170910,6.28,6.28,6.04,6.04,-0.07,72,1043550
104/02/24,113012,6.04,6.06,5.96,6.04,,53,678642
104/02/25,160193,6.04,6.28,6.02,6.28,0.24,103,980185
104/02/26,1428849,6.40,6.71,6.30,6.65,0.37,434,9430205
104/03/02,1173924,6.70,6.76,6.51,6.53,-0.12,398,7829403
104/03/03,786782,6.54,6.98,6.50,6.98,0.45,264,5375147
104/03/04,1948218,6.90,7.20,6.75,7.16,0.18,600,13841497
104/03/05,428300,7.16,7.17,7.06,7.14,-0.02,177,3045517
104/03/06,727394,7.11,7.20,6.91,6.91,-0.23,248,5145211
104/03/09,514088,6.90,6.95,6.80,6.86,-0.05,212,3530147
104/03/10,228235,6.80,6.99,6.80,6.82,-0.04,87,1565169
104/03/11,299760,6.75,6.82,6.56,6.75,-0.07,137,2011322
104/03/12,176528,6.76,6.80,6.61,6.61,-0.14,88,1175810
104/03/13,100032,6.61,6.73,6.61,6.63,0.02,61,667017
104/03/16,136099,6.77,6.97,6.66,6.80,0.17,89,923107
104/03/17,378021,6.85,6.85,6.58,6.58,-0.22,121,2508004
104/03/18,304666,6.62,6.62,6.41,6.43,-0.15,122,1977365
104/03/19,183236,6.43,6.59,6.35,6.40,-0.03,91,1179019
104/03/20,323163,6.70,6.70,6.40,6.50,0.10,79,2092614
104/03/23,320651,6.45,6.45,6.24,6.25,-0.25,149,2035429
104/03/24,130374,6.20,6.30,6.20,6.30,0.05,76,814896
104/03/25,161125,6.21,6.25,6.10,6.18,-0.12,79,992687
104/03/26,276084,6.18,6.53,6.18,6.43,0.25,148,1774045
104/03/27,126017,6.42,6.42,6.29,6.37,-0.06,65,798202
