旭隼            ,	6409
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,1319861,1009903,309958,129839,180119,18011,159625,2.91,159625,159625,558476
2013 Q2,1299313,988255,311058,138299,172759,-9489,137899,2.35,297524,297524,558476
2013 Q3,1484625,1120749,363876,154428,209448,-19906,150302,2.45,447826,447826,616400
2013 Q4,5491112,4168291,1322821,560141,762680,-9920,610538,10.20,610538,610538,616400
2014 Q1,1496263,1116534,379729,143900,235829,20380,203640,3.29,203640,203640,674700
2014 Q2,1637889,1208784,429105,149026,280079,-6449,231798,3.44,435438,435438,674700
2014 Q3,1836628,1338992,497636,161320,336316,19507,281109,3.97,716547,716547,708435
2014 Q4,6723027,4962315,1760712,625551,1135161,96533,995396,14.33,995396,995396,708435
2015 Q1,1920544,1363093,557451,167437,390014,-22326,290161,4.10,290161,290161,708435
2015 Q2,2030225,1432082,598143,169706,428437,-17098,335228,4.73,625389,625389,708135
