旭隼            ,	6409
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,1319861,1009903,309958,129839,180119,18011,159625,2.91,558476
2013 Q2,1299313,988255,311058,138299,172759,-9489,137899,2.35,586400
2013 Q3,1484625,1120749,363876,154428,209448,-19906,150302,2.45,616400
2013 Q4,5491112,4168291,1322821,560141,762680,-9920,610538,10.20,616400
2014 Q1,1496263,1116534,379729,143900,235829,20380,203640,3.29,674700
2014 Q2,1637889,1208784,429105,149026,280079,-6449,231798,3.44,708435
2014 Q3,1836628,1338992,497636,161320,336316,19507,281109,3.97,708435
2014 Q4,6723027,4962315,1760712,625551,1135161,96533,995396,14.33,708435
2015 Q1,1920544,1363093,557451,167437,390014,-22326,290161,4.10,708435
2015 Q2,2030225,1432082,598143,169706,428437,-17098,335228,4.73,743557
2015 Q3,2142077,1474221,667856,207720,460136,97153,449780,6.05,743557
2015 Q4,8039323,5602291,2437032,758813,1678219,82452,1416710,19.05,743557
2016 Q1,2017863,1365481,652382,202723,449659,-38222,330071,4.44,743377
2016 Q2,2035859,1407994,627865,190063,437802,36360,394625,5.31,780555
2016 Q3,2066897,1442561,624336,176501,447835,-35866,329968,4.22,787055
2016 Q4,8120220,5634608,2485612,806337,1679275,42946,1428336,18.25,787055
2017 Q1,2193487,1546164,647323,207672,439651,-59003,317470,4.07,787055
2017 Q2,2483760,1812518,671242,224280,446962,-31693,354611,4.54,786885
2017 Q3,2560176,1868890,691286,228467,462819,-60558,324650,4.16,786885
