康聯-KY         ,	4144
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,456682,213341,243341,157730,85611,72674,134564,1.92,700000
2013 Q2,455534,197194,258340,184936,73404,77437,119601,1.60,700000
2013 Q3,433339,211595,221744,193526,28218,99575,113506,1.49,700000
2013 Q4,1856764,859172,997592,766706,230886,251340,392504,5.06,778470
2014 Q1,506175,253414,252761,175833,76928,93742,147670,1.72,778470
2014 Q2,529666,261829,267837,183191,84646,90934,139758,1.62,778470
2014 Q3,545817,254611,291206,189707,101499,25115,94922,1.00,778670
2014 Q4,2204967,1082332,1122635,790979,331656,265251,482353,5.35,780650
2015 Q1,630571,316311,314260,201935,112325,54025,136555,1.47,780650
2015 Q2,618289,305692,312597,200730,111867,46567,102127,1.03,780650
2015 Q3,766275,356426,409849,254825,155024,-9595,102100,0.86,780650
2015 Q4,2693025,1296468,1396557,923864,472693,77625,387683,3.68,780650
2016 Q1,712073,347564,364509,221654,142855,-1850,103640,0.98,781390
2016 Q2,821710,415158,406552,291355,115197,17016,85004,0.72,781390
