承業醫          ,	4164
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,368644,301332,67312,58972,8340,156,4090,0.04,4847,-757,1200000
2013 Q2,399373,236089,163284,55916,107368,2046,86600,0.73,92902,-2212,1200000
2013 Q3,650355,434149,216206,63539,152667,-130,118940,1.00,213699,-4069,1300000
2013 Q4,2062991,1424042,638949,242625,396324,-18838,291671,2.42,296862,-5191,1300000
2014 Q1,422474,312880,109594,54085,55509,-9837,35903,0.28,36326,-423,1300000
2014 Q2,522179,372764,149415,58621,90794,5147,84725,0.66,121709,-1081,1300000
2014 Q3,410647,276339,134308,67475,66833,-22522,36415,0.28,158561,-1518,1302643
2014 Q4,2091026,1484277,606749,233303,373446,-49038,263793,2.04,265766,-1973,1303460
2015 Q1,305597,227908,77689,133760,-56071,-6218,-56221,-0.31,-40250,-15971,1303733
2015 Q2,723542,485002,238540,81642,156898,-31243,105205,0.78,60822,-11838,1303833
2015 Q3,598054,400141,197913,68396,129517,-35310,71516,0.52,128370,-7870,1304098
2015 Q4,2395331,1635602,759729,389815,369914,-87046,222687,1.73,226518,-3831,1397028
2016 Q1,360596,251860,108736,74341,34395,-17006,9128,0.03,4522,4606,1397238
