聚隆            ,	1466
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,1289235,1185282,103953,84057,19896,4542,20189,0.21,952617
2013 Q2,1286348,1162221,124127,89181,34946,-7298,18237,0.19,952617
2013 Q3,1301092,1170878,130214,89357,40857,2016,35002,0.37,956726
2013 Q4,5230464,4780263,450201,350649,99552,12296,98279,1.02,997875
2014 Q1,1177013,1080593,96420,79763,16657,4466,21053,0.21,997875
2014 Q2,1257621,1175574,82047,82056,-9,13268,10043,0.10,1022216
2014 Q3,1287468,1201817,85651,90562,-4911,6229,-974,-0.01,1061519
2014 Q4,5011570,4649550,362020,346606,15414,49271,54005,0.52,1111519
2015 Q1,1047772,969969,77803,74465,3338,-3487,252,0.00,1111573
2015 Q2,1040995,965695,75300,69664,5636,-17015,-10057,-0.09,1111573
2015 Q3,1029012,968467,60545,66657,-6112,32223,21895,0.20,1111573
2015 Q4,4068290,3794091,274199,285802,-11603,22742,7963,0.07,1111573
2016 Q1,867981,845596,22385,60182,-37797,-12439,-46557,-0.42,1111573
2016 Q2,932422,878280,54142,71383,-17241,-6976,-22677,-0.20,1111573
2016 Q3,915563,857939,57624,70989,-13365,-17370,-13511,-0.12,1111573
2016 Q4,3676208,3492261,183947,265373,-81426,-44693,-101282,-0.91,1111573
2017 Q1,901348,796064,105284,56223,49061,-25282,19574,0.18,1111573
2017 Q2,962040,909279,52761,62953,-10192,-7103,-14235,-0.13,1111573
2017 Q3,1096809,1052145,44664,67549,-22885,-6181,-26001,-0.23,1111573
2017 Q4,3966172,3695367,270805,244063,26742,-40881,-2961,-0.03,1111573
2018 Q1,956450,902259,54191,57240,-3049,-12409,-12253,-0.11,1111573
