鎰勝            ,	6115
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,1996646,1683447,313199,150617,162582,71717,196016,1.19,196016,0,1670890
2013 Q2,1998288,1699025,299263,156358,142905,46106,157903,0.94,353919,0,1681667
2013 Q3,1936568,1589282,347286,148177,199109,-11234,128205,0.76,482124,0,1701337
2013 Q4,7876598,6646782,1229816,579984,649832,176198,645526,3.84,645526,0,1716364
2014 Q1,1777259,1497747,279512,155091,124421,78078,171069,1.00,171069,0,1730738
2014 Q2,1964141,1651459,312682,145566,167116,-19306,130396,0.75,301465,0,1749542
2014 Q3,2069242,1752720,316522,158155,158367,115415,228247,1.30,521930,0,1766359
2014 Q4,7572577,6419789,1152788,598884,553904,279994,610787,3.50,610787,0,1777291
2015 Q1,1632741,1387625,245116,142567,102549,8108,80840,0.45,80840,0,1783885
2015 Q2,1768538,1497474,271064,144563,126501,13396,98143,0.55,178983,0,1788428
2015 Q3,1934255,1626144,308111,185311,122800,238419,277778,1.55,456897,-136,1788876
2015 Q4,7074982,5874257,1200725,694571,506154,292624,606769,3.39,605653,1116,1788876
2016 Q1,1592473,1241114,351359,167802,183557,-22211,84840,0.48,85008,-168,1789164
