錩新            ,	2415
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,403293,323416,79877,67839,19843,-1988,11253,0.17,14360,-3107,856930
2013 Q2,469813,373009,96804,77253,25794,-1210,14258,0.19,31005,-5494,856930
2013 Q3,493200,398470,94730,77186,19509,87,13323,0.21,50132,-11298,911774
2013 Q4,1854257,1468291,385966,293603,109185,-6143,64181,0.90,81697,-17516,911774
2014 Q1,502511,384855,117656,72464,46385,-4004,30732,0.31,28019,2713,911774
2014 Q2,557723,419766,137957,81836,56036,-2504,35767,0.39,63603,2896,911774
2014 Q3,555116,423457,131659,87574,43171,133763,110896,1.24,176379,1016,911774
2014 Q4,2133856,1632476,501380,332824,167520,126458,184650,2.02,184537,113,911774
2015 Q1,487048,388186,98862,83591,12578,-5115,2616,0.07,6228,-3612,911774
2015 Q2,522523,402445,120078,81821,33729,-6697,17907,0.22,26268,-5745,911774
2015 Q3,585685,434562,151123,88364,52743,-7495,29266,0.40,62575,-12786,911774
2015 Q4,2162025,1652689,509336,340201,141174,-22191,62038,0.82,74534,-12496,911774
