再生-KY         ,	1337
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,958883,587149,371734,88295,283439,22291,230132,1.31,230132,230132,1752920
2013 Q2,1698782,1100610,598172,106508,491664,36456,377588,1.89,607720,607720,1752920
2013 Q3,1858231,1083336,774895,131463,643432,-36026,450081,2.25,1057801,1057801,1998329
2013 Q4,7180937,4775649,2405288,453851,1951437,-45678,1287222,6.44,1287222,1287222,1998329
2014 Q1,1220099,758476,461623,109804,351819,56642,305947,1.53,305947,305947,1998329
2014 Q2,1566499,1009383,557116,112281,444835,4821,329008,1.32,634955,634955,1998329
2014 Q3,1420781,928203,492578,121651,370927,12648,281747,1.13,916702,916702,2498291
2014 Q4,5381767,3519917,1861850,444950,1416900,113565,1133135,4.54,1133135,1133135,2498291
2015 Q1,840612,660739,179873,110444,69429,27563,68099,0.27,68099,68099,2498291
2015 Q2,1120266,939713,180553,108329,72224,-7148,33531,0.13,101630,101630,2498291
2015 Q3,1393315,1115230,278085,140527,137558,22318,111809,0.43,213439,213439,2595884
