華興            ,	6164
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,383693,269409,114284,74955,39329,-2939,28150,0.24,28288,-138,1183032
2013 Q2,488423,337588,150835,88104,62731,1981,47825,0.41,76491,-516,1183032
2013 Q3,471945,333360,138585,81356,57229,2586,42824,0.36,119132,-333,1183032
2013 Q4,1752183,1239361,512822,334819,178003,3553,158722,1.33,157540,1182,1183032
2014 Q1,367521,267769,99752,81040,18712,1985,13324,0.11,12976,348,1183032
2014 Q2,475299,332081,143218,84117,59101,4304,45277,0.38,57953,648,1183032
2014 Q3,499631,369294,130337,88620,41717,6240,42722,0.36,100225,1098,1183032
2014 Q4,1802397,1311085,491312,345030,146282,28962,133206,1.11,131826,1380,1183032
2015 Q1,400620,295529,105091,83547,21544,-4472,11995,0.10,11879,116,1183032
2015 Q2,453736,335197,118539,82872,35667,-1277,24746,0.21,36543,198,1183032
2015 Q3,429986,340516,89470,83369,6101,7646,9382,0.07,45447,676,1183032
2015 Q4,1667170,1260102,407068,322780,84288,-6697,54002,0.45,53194,808,1183032
2016 Q1,371110,275183,95927,78538,17389,5160,13602,0.11,13450,152,1183032
