福貞-KY         ,	8411
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,2044468,1655529,388939,148973,239966,-2361,170856,2.24,170856,0,762750
2013 Q2,2590467,2091613,498854,168226,330628,-2896,243968,2.43,414824,0,762750
2013 Q3,2148333,1770757,377576,136691,240885,-4898,166086,1.61,580910,580910,1153016
2013 Q4,8637802,7082680,1555122,572367,982755,9954,715369,6.82,715369,715369,1153016
2014 Q1,1878531,1562298,316233,116166,200067,12386,139608,1.21,139608,0,1153016
2014 Q2,1228394,1072627,155767,108392,47375,-8125,29684,0.20,169292,169292,1153016
2014 Q3,1407176,1214798,192378,115243,77135,443,47577,0.31,216869,216869,1516216
2014 Q4,5697131,4817113,880018,491900,388118,-16154,211992,1.40,211992,211992,1516216
2015 Q1,1662607,1405018,257589,150624,106965,-151,76167,0.50,76167,0,1516216
2015 Q2,1416321,1234257,182064,133003,49061,-10309,25587,0.17,101754,0,1516216
2015 Q3,1723970,1457652,266318,150667,115651,16461,77534,0.51,179288,0,1516216
