高林股          ,	1531
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,814386,634652,179734,104523,75211,80907,93431,0.49,1931511
2013 Q2,860036,643006,217030,107671,109359,20825,88759,0.43,1931511
2013 Q3,740474,569148,171326,85644,85682,-4618,60304,0.30,1931511
2013 Q4,3019440,2338718,680722,407500,273222,125452,289420,1.47,1931511
2014 Q1,761911,627185,134726,78013,56713,33873,75975,0.39,1931511
2014 Q2,726918,592883,134035,94332,39703,-20487,35317,0.19,1931511
2014 Q3,644862,550642,94220,96090,-1870,38355,32317,0.16,1931511
2014 Q4,2777856,2297730,480126,379173,100953,111406,202050,1.05,1931511
2015 Q1,647231,517408,129823,103227,26596,3277,20497,0.11,1931511
2015 Q2,662222,504074,158148,100598,57550,2844,44435,0.24,1931511
2015 Q3,670919,551411,119508,127897,-8389,87122,63993,0.35,1931511
