中鴻            ,	2014
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,12107244,11322413,784831,354280,430551,-21397,405851,0.28,405851,0,14355444
2013 Q2,8355300,8316969,38331,315207,-276876,-57702,-335441,-0.23,70410,70410,14355444
2013 Q3,9907758,9896363,11395,260933,-249538,-1866,-248993,-0.17,-178583,-178583,14355444
2013 Q4,38855230,37526651,1328579,1158403,170176,-30191,139357,0.10,139357,139357,14355444
2014 Q1,9989941,9517262,472679,260732,211947,-57155,154587,0.11,154587,154587,14355444
2014 Q2,9470973,9194387,276586,226325,50261,-37720,12790,0.01,167377,167377,14355444
2014 Q3,9541107,9262321,278786,279946,-1160,59708,58842,0.04,226219,226219,14355444
2014 Q4,37132669,35838297,1294372,1028306,266066,-56265,208397,0.15,208397,208397,14355444
2015 Q1,7734996,8823372,-1088376,271677,-1360053,-43745,-1402544,-0.98,-1402544,-1402544,14355444
2015 Q2,7633732,8134199,-500467,287896,-788363,1075080,287038,0.20,-1115506,-1115506,14355444
2015 Q3,7640814,7420345,220469,285558,-65089,573998,509172,0.35,-606334,-606334,14355444
2015 Q4,29992331,31596846,-1604515,1128757,-2733272,1569176,-1162198,-0.81,-1162198,-1162198,14355444
